Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
20-July-2011,588.95,588.95,575.00,577.20,580.728009828009828009,4070,336,2363563.00,13.95,-11.75
21-July-2011,582.95,582.95,569.00,570.90,573.524862923047835129,5289,386,3033373.00,13.95,-12.05
22-July-2011,567.00,574.00,556.60,570.60,565.502213984141694985,9711,782,5491592.00,17.40,3.60
25-July-2011,573.00,581.00,565.10,576.40,574.896850707594179788,10034,480,5768515.00,15.90,3.40
26-July-2011,575.00,578.75,552.90,557.25,565.328917790622992935,12456,835,7041737.00,25.85,-17.75
27-July-2011,578.00,578.00,555.00,560.85,559.802821366302108099,6309,477,3531796.00,23.00,-17.15
28-July-2011,557.10,559.30,540.00,544.85,549.434357185399472475,11753,592,6457502.00,19.30,-12.25
29-July-2011,540.00,558.40,535.00,550.45,550.066857546573457777,26893,1404,14792948.00,23.40,10.45
1-August-2011,559.70,559.85,539.00,540.50,545.904414827155351936,4802,353,2621433.00,20.85,-19.20
2-August-2011,545.00,545.00,530.10,533.90,534.116051795748839482,4093,283,2186137.00,14.90,-11.10
3-August-2011,530.00,535.00,520.00,531.00,527.257311217808817110,4582,381,2415893.00,15.00,1.00
4-August-2011,546.65,546.65,520.15,522.00,528.705608512524939037,4511,325,2384991.00,26.50,-24.65
5-August-2011,518.00,518.00,497.30,499.85,503.401814516129032258,14880,1111,7490619.00,20.70,-18.15
8-August-2011,497.30,499.95,484.65,491.20,490.806170448256779192,7228,458,3547547.00,15.30,-6.10
9-August-2011,488.90,495.00,475.00,481.05,484.341730368311327310,11512,626,5575742.00,20.00,-7.85
10-August-2011,501.55,501.55,480.00,484.65,485.190403854083027712,46081,426,22358059.00,21.55,-16.90
11-August-2011,466.25,496.00,461.15,483.55,484.907542579075425790,4521,294,2192267.00,34.85,17.30
12-August-2011,484.10,489.80,479.95,480.85,483.662477558348294434,3342,256,1616400.00,9.85,-3.25
16-August-2011,485.00,485.00,450.00,452.15,463.951260223668836588,11982,864,5559064.00,35.00,-32.85
17-August-2011,457.50,457.50,427.00,444.00,438.394031384270502521,21412,1770,9386893.00,30.50,-13.50
18-August-2011,446.00,457.00,426.00,438.30,435.779242990233583869,22219,1084,9682579.00,31.00,-7.70
19-August-2011,428.00,430.00,413.00,422.00,420.522183728207420652,17896,943,7525665.00,17.00,-6.00
22-August-2011,422.35,445.00,417.55,441.60,433.360675606990655667,25577,1482,11084066.00,27.45,19.25
23-August-2011,445.00,454.75,434.15,449.50,443.362578881554075668,34387,1118,15245909.00,20.60,4.50
24-August-2011,450.00,453.00,443.50,448.30,447.660647902283590015,11298,407,5057670.00,9.50,-1.70
25-August-2011,446.65,450.10,440.40,447.25,445.842420099128354127,5851,339,2608624.00,9.70,0.60
26-August-2011,440.20,442.90,432.35,438.10,437.681681097383013911,10279,528,4498930.00,10.55,-2.10
29-August-2011,440.05,456.00,440.05,452.40,449.895673813169984686,5224,374,2350255.00,15.95,12.35
30-August-2011,453.15,468.70,453.15,464.10,463.766529653552554315,8515,533,3948972.00,15.55,10.95
2-September-2011,463.00,467.30,458.20,464.10,463.274301873453517143,5658,401,2621206.00,9.10,1.10
5-September-2011,465.00,475.00,459.25,471.90,468.548564654077398594,11809,592,5533090.00,15.75,6.90
6-September-2011,479.70,479.70,466.05,468.35,470.518313752591568762,7235,502,3404200.00,13.65,-11.35
7-September-2011,475.70,478.00,469.00,472.95,473.870053475935828877,3740,381,1772274.00,9.00,-2.75
8-September-2011,474.35,476.50,467.60,470.05,472.622550453348932436,6838,532,3231793.00,8.90,-4.30
9-September-2011,470.00,470.00,452.10,455.85,458.981836345472709109,11011,987,5053849.00,17.90,-14.15
12-September-2011,450.00,462.00,445.50,455.85,450.850954198473282442,5240,605,2362459.00,16.50,5.85
13-September-2011,459.25,477.65,456.10,473.25,467.551113613613613613,15984,891,7473337.00,21.55,14.00
14-September-2011,482.00,493.00,480.00,483.75,486.472470510051503572,60190,2697,29280778.00,13.00,1.75
15-September-2011,487.85,488.50,477.80,479.90,482.041444498303441589,12378,665,5966709.00,10.70,-7.95
16-September-2011,481.00,486.00,473.05,481.45,479.877399330229518908,12243,687,5875139.00,12.95,0.45
19-September-2011,480.80,481.45,473.00,475.35,476.777159512453630100,3774,305,1799357.00,8.45,-5.45
20-September-2011,474.00,485.20,464.90,479.45,478.878916515059632100,9894,618,4738028.00,20.30,5.45
21-September-2011,480.00,495.00,480.00,492.15,488.862664222425908952,19638,1062,9600285.00,15.00,12.15
22-September-2011,473.20,484.25,425.00,468.05,472.608087717533447339,19882,924,9396394.00,59.25,-5.15
23-September-2011,462.00,462.00,449.95,454.75,455.846640992725716730,11685,652,5326568.00,12.05,-7.25
26-September-2011,456.50,456.50,438.00,449.20,447.517011267913794989,9141,826,4090753.00,18.50,-7.30
27-September-2011,460.50,479.00,460.25,472.10,468.310402807222750201,13679,844,6406018.00,18.75,11.60
28-September-2011,473.30,473.30,458.95,462.60,465.139423076923076923,5200,423,2418725.00,14.35,-10.70
29-September-2011,459.00,467.95,455.70,463.00,461.017555266579973992,6152,414,2836180.00,12.25,4.00
30-September-2011,455.50,471.75,443.90,458.50,459.547832404940663598,4129,447,1897473.00,27.85,3.00
3-October-2011,450.00,462.00,448.05,457.50,455.297441664323868428,3557,296,1619493.00,13.95,7.50
4-October-2011,458.00,467.00,454.00,455.85,458.876038142110119963,3251,296,1491806.00,13.00,-2.15
5-October-2011,463.60,463.60,445.10,450.70,451.761130136986301369,3504,360,1582971.00,18.50,-12.90
7-October-2011,457.00,469.90,455.05,467.60,462.436105476673427991,4930,385,2279810.00,14.85,10.60
10-October-2011,467.00,499.90,465.00,492.00,484.452222506612063817,23442,902,11356529.00,34.90,25.00
11-October-2011,494.00,503.90,482.05,489.25,490.518972820331803741,11332,732,5558561.00,21.85,-4.75
12-October-2011,495.00,502.00,483.65,489.70,493.695785654479486463,10749,769,5306736.00,18.35,-5.30
13-October-2011,493.60,495.50,482.05,487.80,491.456838273530941237,7692,385,3780286.00,13.45,-5.80
14-October-2011,487.80,523.00,485.05,514.40,513.022725830000634799,110271,6051,56571529.00,37.95,26.60
17-October-2011,520.00,522.00,506.95,508.30,514.009995041624259505,38319,1293,19696349.00,15.05,-11.70
18-October-2011,501.00,501.00,489.10,491.40,494.888127051101734646,17064,648,8444771.00,11.90,-9.60
19-October-2011,498.45,499.85,490.00,493.85,495.789459710606664011,7533,286,3734782.00,9.85,-4.60
20-October-2011,495.00,499.20,480.80,484.15,491.545683070675819394,10343,610,5084057.00,18.40,-10.85
