Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
20-July-2011,103.80,103.80,100.65,100.95,101.642245429977647639,188347,1158,19144012.00,3.15,-2.85
21-July-2011,101.15,102.25,98.50,99.30,100.539711173144947545,496145,1434,49882275.00,3.75,-1.85
22-July-2011,100.30,103.25,100.10,102.75,101.628378613075300831,201525,1433,20480659.00,3.15,2.45
25-July-2011,103.00,106.75,102.50,105.40,105.360848095915151980,520460,4035,54836107.00,4.25,2.40
26-July-2011,105.85,108.65,104.15,104.90,106.733831918438214135,526423,4910,56187144.00,4.50,-0.95
27-July-2011,104.00,109.00,104.00,108.60,107.967414113718730063,736730,5614,79542833.00,5.00,4.60
28-July-2011,108.00,108.50,106.00,107.75,107.510417453293259428,264844,2528,28473489.00,2.50,-0.25
29-July-2011,107.75,108.90,105.00,106.20,107.423539130337271847,267529,2582,28738912.00,3.90,-1.55
1-August-2011,107.10,108.65,106.25,107.00,107.525229378328783064,111715,1144,12012181.00,2.40,-0.10
2-August-2011,107.00,107.00,104.00,104.60,105.218969871910517770,110860,1188,11664575.00,3.00,-2.40
3-August-2011,103.80,108.60,102.90,107.90,106.480285340095299133,251209,2525,26748806.00,5.70,4.10
4-August-2011,108.00,115.30,108.00,111.00,112.460207814350220859,1628184,13522,183105911.00,7.30,3.00
5-August-2011,107.00,108.45,102.25,106.40,106.028696608288318157,772147,6429,81869740.00,6.20,-0.60
8-August-2011,104.00,108.60,101.50,106.40,105.252500924011713625,492418,4310,51828226.00,7.10,2.40
9-August-2011,102.60,108.00,101.30,102.75,104.358408271139110054,601610,4995,62783062.00,6.70,0.15
10-August-2011,104.50,109.65,101.50,106.70,105.959178145998119603,1738995,13126,184262481.00,8.15,2.20
11-August-2011,105.90,106.40,101.95,102.90,104.098005557547508067,669360,5681,69679041.00,4.45,-3.00
12-August-2011,104.00,104.70,101.60,102.25,103.089641311451153499,324404,2844,33442692.00,3.10,-1.75
