Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
20-July-2011,790.00,799.60,789.95,794.50,791.502049180327868852,2440,69,1931265.00,9.65,4.50
21-July-2011,795.00,795.00,772.30,779.75,783.167053364269141531,2155,168,1687725.00,22.70,-15.25
22-July-2011,790.00,810.00,773.10,806.35,797.323539067629678266,12184,326,9714590.00,36.90,16.35
25-July-2011,804.00,813.00,800.00,810.55,808.838283828382838283,5151,194,4166326.00,13.00,6.55
26-July-2011,808.00,817.95,803.05,812.20,811.572250264115506514,8519,149,6913784.00,14.90,4.20
27-July-2011,808.10,854.80,808.10,840.70,840.630511925538103548,34380,1173,28900877.00,46.70,32.60
28-July-2011,825.15,852.00,735.80,752.55,784.889926463801113811,130004,2959,102038830.00,116.20,-72.60
29-July-2011,750.00,760.00,742.00,752.95,753.028927680798004987,24060,832,18117876.00,18.00,2.95
1-August-2011,754.35,770.00,754.35,765.55,762.200684972661178874,16643,549,12685306.00,15.65,11.20
2-August-2011,777.00,777.00,746.00,758.75,762.977937219730941704,11150,395,8507204.00,31.00,-18.25
3-August-2011,751.15,770.00,750.00,766.00,761.674070981210855949,11975,350,9121047.00,20.00,14.85
4-August-2011,732.95,741.95,729.00,736.75,735.841362733827986205,9569,343,7041266.00,12.95,3.80
5-August-2011,720.00,724.00,697.20,714.20,707.233770992366412213,16375,655,11580953.00,26.80,-5.80
8-August-2011,695.00,709.90,682.00,705.45,701.238533164731578342,8699,364,6100074.00,27.90,10.45
9-August-2011,682.80,699.75,682.75,696.90,694.562842278203723986,7304,188,5073087.00,17.00,14.10
10-August-2011,719.50,719.50,706.00,716.75,714.557801874655394229,5441,139,3887909.00,13.50,-2.75
11-August-2011,705.00,720.90,704.00,717.80,716.293421414808698045,3633,101,2602294.00,16.90,12.80
12-August-2011,718.80,734.75,701.50,722.95,726.630827067669172932,2660,154,1932838.00,33.25,4.15
16-August-2011,729.95,742.65,729.20,739.95,738.704040304257631137,20246,227,14955802.00,13.45,10.00
17-August-2011,741.00,745.00,730.00,743.40,740.798385181667062455,4211,149,3119502.00,15.00,2.40
18-August-2011,740.10,742.95,720.00,724.30,731.547123118168694576,4849,196,3547272.00,22.95,-15.80
19-August-2011,712.00,720.00,695.15,700.00,707.969343696027633851,2316,124,1639657.00,24.85,-12.00
22-August-2011,701.90,701.90,685.00,692.90,691.496158392434988179,3384,159,2340023.00,16.90,-9.00
23-August-2011,710.00,712.00,692.45,705.95,699.959935466523258940,3719,139,2603151.00,19.55,-4.05
24-August-2011,707.00,712.90,707.00,710.50,709.958314953683281870,4534,70,3218951.00,5.90,3.50
25-August-2011,712.00,712.00,700.80,709.25,706.417514374170720919,2261,82,1597210.00,11.20,-2.75
26-August-2011,710.00,713.00,705.00,708.50,710.122622420072845002,2471,74,1754713.00,8.00,-1.50
29-August-2011,711.40,735.00,710.00,724.90,716.249932450689002972,3701,141,2650841.00,25.00,13.50
30-August-2011,734.50,736.75,724.00,735.30,729.219252724442138038,3854,70,2810411.00,12.75,0.80
2-September-2011,743.95,743.95,714.95,723.20,726.053594771241830065,1530,108,1110862.00,29.00,-20.75
5-September-2011,732.95,732.95,716.20,718.60,720.573248407643312101,1256,90,905040.00,16.75,-14.35
6-September-2011,727.00,727.00,714.00,715.70,717.621364732586182437,7049,103,5058513.00,13.00,-11.30
7-September-2011,723.90,724.00,715.00,720.05,719.827884884045822855,3579,77,2576264.00,9.00,-3.85
8-September-2011,723.00,730.00,720.00,728.90,725.428207739307535641,1964,64,1424741.00,10.00,5.90
9-September-2011,730.00,736.50,720.00,725.65,724.868686868686868686,891,61,645858.00,16.50,-4.35
12-September-2011,726.00,726.00,715.20,722.20,720.440671031096563011,2444,85,1760757.00,10.80,-3.80
13-September-2011,722.00,723.85,715.70,720.00,719.870495852067633462,15791,170,11367475.00,8.15,-2.00
14-September-2011,712.10,728.00,703.50,722.05,721.300534759358288770,3740,145,2697664.00,24.50,9.95
15-September-2011,720.10,727.00,719.60,726.40,724.738772256178580919,3763,80,2727192.00,7.40,6.30
16-September-2011,727.00,734.85,724.00,725.90,728.457246376811594202,2760,131,2010542.00,10.85,-1.10
19-September-2011,718.30,729.85,718.30,725.00,725.479811741392122863,4037,64,2928762.00,11.55,6.70
20-September-2011,723.30,735.00,723.05,731.60,727.136850616535273903,4947,91,3597146.00,11.95,8.30
21-September-2011,736.90,739.50,728.00,733.85,735.009882643607164916,1619,86,1189981.00,11.50,-3.05
22-September-2011,726.55,736.00,725.00,726.40,730.155519080837094788,2437,97,1779389.00,11.00,-0.15
23-September-2011,720.50,726.00,718.50,722.50,724.945141874462596732,11630,60,8431112.00,7.50,2.00
26-September-2011,717.40,725.90,710.10,720.10,719.691867469879518072,6640,191,4778754.00,15.80,2.70
27-September-2011,723.90,729.00,721.00,728.50,723.909165978530140379,1211,55,876654.00,8.00,4.60
28-September-2011,723.05,732.00,715.05,725.90,724.436726446072240464,3959,123,2868045.00,16.95,2.85
29-September-2011,726.90,735.00,717.20,729.65,725.693666523050409306,2321,121,1684335.00,17.80,2.75
30-September-2011,734.85,734.85,707.00,717.30,719.845750873108265424,1718,96,1236695.00,27.85,-17.55
3-October-2011,728.00,728.00,706.10,712.70,713.896129348358647721,2041,131,1457062.00,21.90,-15.30
4-October-2011,719.00,721.00,707.00,712.10,713.923222152297042164,4767,76,3403272.00,14.00,-6.90
5-October-2011,711.30,718.50,700.10,704.35,706.643564356435643564,909,69,642339.00,18.40,-6.95
7-October-2011,719.75,719.75,696.55,705.20,706.167741935483870967,2790,172,1970208.00,23.20,-14.55
10-October-2011,702.00,717.90,702.00,712.15,710.374757281553398058,515,48,365843.00,15.90,10.15
11-October-2011,714.00,725.00,713.40,723.65,719.438989169675090252,1385,64,996423.00,11.60,9.65
12-October-2011,725.00,729.35,715.70,723.30,722.007792207792207792,385,39,277973.00,13.65,-1.70
13-October-2011,724.00,724.00,711.60,714.75,718.938948306595365418,2244,87,1613299.00,12.40,-9.25
14-October-2011,721.00,721.00,709.80,715.80,713.908611599297012302,569,57,406214.00,11.20,-5.20
17-October-2011,719.75,719.75,699.80,708.20,705.301024087696523871,6933,275,4889852.00,19.95,-11.55
18-October-2011,710.00,713.00,705.00,707.30,708.135900339750849377,883,66,625284.00,8.00,-2.70
19-October-2011,713.00,730.00,712.00,712.75,716.151937984496124031,645,78,461918.00,18.00,-0.25
20-October-2011,712.00,715.60,708.10,714.30,712.286170212765957446,940,53,669549.00,7.50,2.30
