Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
20-July-2011,483.00,490.00,467.00,467.25,475.781214203894616265,873,43,415357.00,23.00,-15.75
21-July-2011,490.50,506.00,488.00,500.15,497.002836622608485726,16569,488,8234840.00,18.00,9.65
22-July-2011,515.00,600.15,492.10,577.60,570.687141410732365845,157039,4304,89620138.00,108.05,62.60
25-July-2011,585.00,598.40,566.90,577.15,579.922992491728175108,62864,871,36456279.00,31.50,-7.85
26-July-2011,584.50,584.50,562.00,569.15,568.682069970845481049,20580,391,11703477.00,22.50,-15.35
27-July-2011,569.00,574.75,555.50,561.95,565.037295081967213114,4880,130,2757382.00,19.25,-7.05
28-July-2011,561.00,561.00,545.30,549.20,551.215462119744235613,5161,148,2844823.00,15.70,-11.80
29-July-2011,563.00,565.00,515.00,523.05,532.995070948469006721,6695,174,3568402.00,50.00,-39.95
1-August-2011,530.00,538.95,512.00,529.75,524.366291451171280803,6574,132,3447184.00,26.95,-0.25
2-August-2011,530.00,536.65,520.00,527.60,527.379635079458505002,5097,92,2688054.00,16.65,-2.40
3-August-2011,520.60,527.00,520.00,523.15,522.000635324015247776,4722,114,2464887.00,7.00,2.55
4-August-2011,527.00,535.00,510.00,511.75,520.381777941718922906,2711,105,1410755.00,25.00,-15.25
5-August-2011,545.00,548.00,495.00,516.65,518.708572768851882256,8527,120,4423028.00,53.00,-28.35
8-August-2011,491.00,519.50,477.25,509.75,502.733547106428462360,6549,173,3292402.00,42.25,18.75
9-August-2011,500.00,514.70,491.15,512.00,509.603134532449773850,9507,117,4844797.00,23.55,12.00
10-August-2011,503.05,524.70,500.00,502.75,507.982210927573062261,1574,79,799564.00,24.70,-0.30
11-August-2011,505.00,515.00,502.75,511.20,511.082080924855491329,865,35,442086.00,12.25,6.20
12-August-2011,506.00,515.00,505.00,513.10,510.715630885122410546,1062,33,542380.00,10.00,7.10
16-August-2011,522.90,523.00,505.00,508.85,514.687697160883280757,634,35,326312.00,18.00,-14.05
17-August-2011,499.00,505.00,496.00,502.00,499.944723618090452261,2985,57,1492335.00,9.00,3.00
18-August-2011,500.00,513.50,500.00,500.00,504.840127897681854516,2502,72,1263110.00,13.50,0.00
19-August-2011,495.00,513.75,495.00,506.00,504.128677349916287969,4181,57,2107762.00,18.75,11.00
22-August-2011,523.90,523.90,503.55,509.25,510.707774798927613941,373,21,190494.00,20.35,-14.65
