Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
20-July-2011,187.00,188.15,180.10,181.10,184.631839193457298834,239045,3026,44135318.00,8.05,-5.90
21-July-2011,182.00,182.95,178.00,178.45,179.537116646835297278,104212,1611,18709922.00,4.95,-3.55
22-July-2011,179.20,183.80,179.00,183.30,182.292331684712382480,112215,1956,20455934.00,4.80,4.10
25-July-2011,184.20,184.80,181.00,182.80,182.920326911489795603,64727,1144,11839884.00,3.80,-1.40
26-July-2011,184.00,184.00,178.50,179.50,180.304037281626153341,42702,833,7699343.00,5.50,-4.50
27-July-2011,179.60,180.30,175.00,179.00,177.844106921700839411,58136,1194,10339145.00,5.30,-0.60
28-July-2011,178.00,181.45,176.20,178.30,178.222391707261067099,60969,1472,10866041.00,5.25,0.30
29-July-2011,176.30,179.85,175.15,176.00,177.507083447582487889,32823,869,5826315.00,4.70,-0.30
1-August-2011,177.90,179.70,177.00,178.90,178.391015766151271371,52581,801,9379978.00,2.70,1.00
2-August-2011,178.75,178.75,171.50,172.55,173.964530590717299578,45504,1181,7916082.00,7.25,-6.20
3-August-2011,168.10,168.10,164.55,166.10,165.917862894755269238,71405,1595,11847365.00,3.55,-2.00
4-August-2011,167.00,170.00,158.60,159.75,163.765074221657835967,159859,3104,26179321.00,11.40,-7.25
5-August-2011,156.90,158.90,150.00,157.65,154.752497893932566659,204172,3586,31596127.00,8.90,0.75
8-August-2011,147.05,153.70,146.50,148.15,149.431738580532178819,164456,2802,24574946.00,7.20,1.10
9-August-2011,144.90,151.50,140.50,146.05,146.596543917437461120,196118,3496,28750221.00,11.00,1.15
10-August-2011,150.10,151.95,147.90,150.55,149.925902517775564180,145565,2916,21823964.00,4.05,0.45
11-August-2011,149.90,151.40,145.50,146.95,147.205059171401922326,151171,3012,22253136.00,5.90,-2.95
12-August-2011,149.45,155.05,148.35,152.20,152.969823107186833648,166485,3166,25467181.00,6.70,2.75
16-August-2011,153.10,155.20,145.60,146.35,150.217976667312957822,211463,3107,31765544.00,9.60,-6.75
