Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
20-July-2011,32.70,32.70,31.65,31.70,32.013398294762484774,2463,30,78849.00,1.05,-1.00
21-July-2011,34.65,34.65,30.70,30.90,31.217543859649122807,9405,74,293601.00,3.95,-3.75
22-July-2011,31.95,31.95,30.90,31.05,31.116959064327485380,513,18,15963.00,1.05,-0.90
25-July-2011,31.65,31.65,30.85,31.65,31.495085547870404077,2747,23,86517.00,0.80,0.00
26-July-2011,32.00,32.00,30.55,30.75,31.048748353096179183,2277,41,70698.00,1.45,-1.25
27-July-2011,30.80,31.75,30.80,31.05,31.181112548512289780,2319,36,72309.00,0.95,0.25
28-July-2011,31.95,31.95,30.05,31.00,30.907499048344118766,5254,47,162388.00,1.90,-0.95
29-July-2011,30.25,31.95,30.25,31.00,30.990117356392835083,1619,26,50173.00,1.70,0.75
1-August-2011,31.00,31.40,30.05,30.55,30.837812789620018535,7553,38,232918.00,1.35,-0.45
2-August-2011,30.50,30.70,30.10,30.70,30.429897864438254410,1077,13,32773.00,0.60,0.20
3-August-2011,29.80,31.95,29.80,29.95,30.017045454545454545,352,7,10566.00,2.15,0.15
4-August-2011,31.45,31.50,29.05,29.40,29.802460924509477884,6014,55,179232.00,2.45,-2.05
5-August-2011,29.05,29.55,27.75,28.50,28.317518785914247826,6787,62,192191.00,1.80,-0.55
8-August-2011,29.00,32.40,28.90,31.15,31.175211741126268830,30934,310,964374.00,3.50,2.15
9-August-2011,29.50,33.20,29.40,32.15,31.313132233664449102,21946,192,687198.00,3.80,2.65
10-August-2011,33.00,35.50,32.85,34.75,34.203668781073204183,34998,316,1197060.00,2.65,1.75
11-August-2011,35.40,36.40,35.00,35.95,35.753054275986380933,19972,267,714060.00,1.40,0.55
12-August-2011,36.20,36.75,35.30,36.25,36.078296824140054543,11367,100,410102.00,1.45,0.05
16-August-2011,37.00,37.00,34.20,34.80,35.606891574959408262,5543,41,197369.00,2.80,-2.20
17-August-2011,35.05,35.45,34.00,35.00,34.730412071967498549,6892,68,239362.00,1.45,-0.05
18-August-2011,33.20,34.45,33.10,33.15,33.855007949125596184,9435,63,319422.00,1.35,-0.05
