Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
6-June-2011,7149.50,7240.00,7067.10,7171.50,7129.496062992125984251,635,157,4527230.00,172.90,22.00
7-June-2011,7250.00,7250.00,7135.05,7162.35,7172.801369863013698630,146,39,1047229.00,114.95,-87.65
8-June-2011,7156.00,7183.95,7047.00,7100.30,7095.831884057971014492,345,114,2448062.00,136.95,-55.70
9-June-2011,7126.00,7143.95,7015.05,7029.45,7078.782918149466192170,562,140,3978276.00,128.90,-96.55
10-June-2011,7055.00,7070.70,6980.05,6990.75,7017.748299319727891156,294,95,2063218.00,90.65,-64.25
13-June-2011,7034.90,7050.00,6953.00,7016.00,7012.516183986371379897,587,112,4116347.00,97.00,-18.90
14-June-2011,7064.90,7074.00,7020.00,7047.65,7042.338809034907597535,487,61,3429619.00,54.00,-17.25
15-June-2011,7009.00,7050.00,6960.00,6972.90,7002.655870445344129554,494,114,3459312.00,90.00,-36.10
16-June-2011,7024.50,7024.50,6901.00,6953.45,6945.495702005730659025,698,104,4847956.00,123.50,-71.05
17-June-2011,6942.00,6969.80,6855.10,6876.65,6911.227882037533512064,373,110,2577888.00,114.70,-65.35
20-June-2011,6936.00,6936.00,6800.00,6890.25,6856.745098039215686274,765,154,5245410.00,136.00,-45.75
21-June-2011,6895.00,6950.00,6870.00,6926.50,6902.709302325581395348,258,49,1780899.00,80.00,31.50
22-June-2011,6885.00,6947.65,6827.50,6862.10,6875.183486238532110091,327,90,2248185.00,120.15,-22.90
23-June-2011,6830.00,6850.00,6748.00,6765.70,6781.296660117878192534,509,103,3451680.00,102.00,-64.30
24-June-2011,6879.20,6900.00,6781.00,6845.20,6860.219725343320848938,801,100,5495036.00,119.00,-34.00
27-June-2011,6845.00,7005.00,6800.10,6937.15,6908.788359788359788359,567,117,3917283.00,204.90,92.15
28-June-2011,6937.55,6995.00,6850.00,6951.80,6905.788808664259927797,1108,106,7651614.00,145.00,14.25
29-June-2011,6990.00,7058.00,6851.00,6887.55,6993.346454441479222264,10492,360,73374191.00,207.00,-102.45
