Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
6-June-2011,592.00,593.90,583.75,585.00,586.810744810744810744,2457,83,1441794.00,10.15,-7.00
7-June-2011,583.00,584.95,577.15,579.25,580.397144711226476314,1541,83,894392.00,7.80,-3.75
8-June-2011,580.00,593.70,580.00,583.95,585.790480065093572009,2458,126,1439873.00,13.70,3.95
9-June-2011,582.00,585.00,582.00,582.20,583.372822299651567944,287,31,167428.00,3.00,0.20
10-June-2011,582.10,588.00,582.10,586.80,586.837209302325581395,1247,49,731786.00,5.90,4.70
13-June-2011,588.95,614.00,582.25,595.90,601.321727686049294089,8358,617,5025847.00,31.75,6.95
14-June-2011,600.00,604.90,595.00,595.25,596.921675432006010518,5324,186,3178011.00,9.90,-4.75
15-June-2011,587.05,599.00,583.20,587.40,588.166666666666666666,1044,78,614046.00,15.80,0.35
16-June-2011,507.00,597.00,507.00,588.95,577.140864086408640864,2222,91,1282407.00,90.00,81.95
17-June-2011,590.00,592.95,580.00,583.15,584.778546712802768166,1156,96,676004.00,12.95,-6.85
20-June-2011,600.00,600.00,566.00,569.70,572.745898512018313620,2621,209,1501167.00,34.00,-30.30
21-June-2011,570.60,584.95,570.50,575.40,575.555958132045088566,2484,205,1429681.00,14.45,4.80
22-June-2011,580.00,580.00,567.05,569.55,574.710526315789473684,684,44,393102.00,12.95,-10.45
23-June-2011,570.00,571.30,566.00,567.35,568.713004484304932735,669,53,380469.00,5.30,-2.65
24-June-2011,571.00,576.00,568.35,570.75,571.670230263157894736,4864,116,2780604.00,7.65,-0.25
27-June-2011,574.50,586.00,572.75,583.90,578.793413173652694610,2004,158,1159902.00,13.25,9.40
28-June-2011,591.00,598.00,585.55,594.45,593.207799442896935933,3590,172,2129616.00,12.45,3.45
29-June-2011,594.00,618.95,592.50,610.35,605.759711560828099558,4299,268,2604161.00,26.45,16.35
30-June-2011,610.10,611.00,602.25,606.85,606.434635248547449967,6196,154,3757469.00,8.75,-3.25
1-July-2011,609.80,612.00,604.00,607.15,608.176054955839057899,5095,89,3098657.00,8.00,-2.65
4-July-2011,609.95,614.40,605.50,612.90,609.963987869598180439,2638,102,1609085.00,8.90,2.95
5-July-2011,605.50,623.75,605.50,617.95,617.777802918882226496,8839,286,5460538.00,18.25,12.45
6-July-2011,624.00,650.00,616.40,639.85,637.954877692232725855,20522,1056,13092110.00,33.60,15.85
7-July-2011,650.00,660.00,633.00,635.10,647.470134874759152215,10899,573,7056777.00,27.00,-14.90
8-July-2011,644.95,644.95,636.25,639.60,640.649622512010981468,2914,179,1866853.00,8.70,-5.35
11-July-2011,644.00,652.00,635.00,643.00,643.276834445118253486,3298,150,2121527.00,17.00,-1.00
12-July-2011,643.00,643.00,632.50,637.00,638.557368941641938674,4044,180,2582326.00,10.50,-6.00
13-July-2011,636.50,643.00,636.50,638.75,639.399500178507675830,2801,77,1790958.00,6.50,2.25
14-July-2011,640.00,642.00,628.00,637.25,637.972553368450235652,3607,129,2301167.00,14.00,-2.75
15-July-2011,640.00,657.00,637.10,649.10,645.732883061846113097,7551,375,4875929.00,19.90,9.10
18-July-2011,644.00,666.00,644.00,657.70,655.169432314410480349,9160,282,6001352.00,22.00,13.70
19-July-2011,652.00,675.35,652.00,669.75,670.724036233410575100,9494,471,6367854.00,23.35,17.75
20-July-2011,678.60,678.60,660.00,661.70,665.888661899897854954,1958,118,1303810.00,18.60,-16.90
21-July-2011,660.00,664.45,653.00,661.00,661.172826969943135662,4924,176,3255615.00,11.45,1.00
22-July-2011,665.00,676.00,658.00,664.65,667.842623738587217683,4162,300,2779561.00,18.00,-0.35
25-July-2011,672.20,672.20,659.05,666.20,666.822466335931963146,2822,114,1881773.00,13.15,-6.00
26-July-2011,672.00,672.25,662.00,667.15,669.229933316868362558,4049,176,2709712.00,10.25,-4.85
27-July-2011,672.50,676.80,665.00,668.50,671.865453363665908352,3077,164,2067330.00,11.80,-4.00
28-July-2011,660.00,671.50,660.00,669.10,669.076946197775773970,3327,82,2226019.00,11.50,9.10
29-July-2011,670.00,677.60,666.10,666.15,668.730577136514983351,3604,96,2410105.00,11.50,-3.85
1-August-2011,666.50,673.00,652.05,660.85,659.432238805970149253,3350,156,2209098.00,20.95,-5.65
2-August-2011,660.00,663.80,654.00,654.30,657.089634012710935787,4563,96,2998300.00,9.80,-5.70
3-August-2011,660.00,660.00,640.00,643.80,647.234536082474226804,2328,124,1506762.00,20.00,-16.20
4-August-2011,646.00,665.00,640.00,645.90,648.691856677524429967,6140,291,3982968.00,25.00,-0.10
5-August-2011,630.00,634.50,621.00,630.35,628.614805520702634880,3985,194,2505030.00,13.50,0.35
8-August-2011,625.00,629.85,613.05,625.85,620.339914163090128755,2330,160,1445392.00,16.80,0.85
9-August-2011,617.00,622.00,603.00,620.05,611.168513910879891427,8842,211,5403952.00,19.00,3.05
10-August-2011,630.00,635.00,624.00,629.10,627.823754789272030651,783,81,491586.00,11.00,-0.90
11-August-2011,625.00,633.00,615.00,617.85,621.123924268502581755,2324,113,1443492.00,18.00,-7.15
12-August-2011,645.05,688.70,645.05,660.40,670.101384833793158867,37333,1545,25016895.00,43.65,15.35
16-August-2011,670.00,681.00,663.10,666.30,672.402641584950970582,4997,307,3359996.00,17.90,-3.70
17-August-2011,670.40,670.40,655.00,658.55,658.350726946823341963,5021,140,3305579.00,15.40,-11.85
18-August-2011,669.80,669.80,655.00,657.35,659.574266365688487584,4430,186,2921914.00,14.80,-12.45
19-August-2011,645.00,649.95,635.10,638.35,642.015934331240946402,6213,197,3988845.00,14.85,-6.65
22-August-2011,636.00,648.90,631.05,641.95,635.935669155657668006,1741,87,1107164.00,17.85,5.95
23-August-2011,636.00,645.00,636.00,639.95,639.820711678832116788,2192,67,1402487.00,9.00,3.95
24-August-2011,631.05,639.30,615.00,615.10,615.632450848623136311,63986,184,39391858.00,24.30,-15.95
25-August-2011,629.75,642.00,625.00,630.75,631.451069182389937106,3975,222,2510018.00,17.00,1.00
26-August-2011,627.00,637.00,607.00,613.95,619.995094339622641509,2650,210,1642987.00,30.00,-13.05
29-August-2011,620.05,633.00,620.00,628.75,629.437292464878671775,3915,251,2464247.00,13.00,8.70
30-August-2011,653.60,653.60,628.00,636.60,632.792429792429792429,1638,132,1036514.00,25.60,-17.00
2-September-2011,630.00,642.00,630.00,637.35,636.573378839590443686,2344,183,1492128.00,12.00,7.35
5-September-2011,638.00,668.00,638.00,657.55,657.275647551181992987,8841,364,5810974.00,30.00,19.55
6-September-2011,648.05,668.70,648.05,666.60,663.930631175640250050,4959,224,3292432.00,20.65,18.55
7-September-2011,670.00,682.00,663.20,665.30,670.650378861472702545,10294,419,6903675.00,18.80,-4.70
8-September-2011,666.80,674.00,660.00,662.60,666.224336009882643607,8095,387,5393086.00,14.00,-4.20
9-September-2011,648.00,648.00,625.00,633.35,635.005380380380380380,7992,495,5074963.00,23.00,-14.65
12-September-2011,630.10,630.10,610.00,619.95,618.520594686814525956,4103,286,2537790.00,20.10,-10.15
13-September-2011,620.00,627.85,611.10,619.25,619.771596562641338760,2211,236,1370315.00,16.75,-0.75
14-September-2011,624.50,624.50,616.15,619.45,619.881882770870337477,1126,74,697987.00,8.35,-5.05
15-September-2011,620.00,625.00,617.30,622.30,620.807070101857399640,1669,109,1036127.00,7.70,2.30
16-September-2011,623.00,632.95,621.20,625.85,626.772370999346832135,6124,245,3838354.00,11.75,2.85
19-September-2011,631.85,637.45,620.00,620.60,623.803654822335025380,4925,207,3072233.00,17.45,-11.25
20-September-2011,624.00,674.00,623.70,649.80,657.175770686857760951,49923,3099,32808186.00,50.30,25.80
21-September-2011,650.00,654.40,629.00,634.55,639.827060653188180404,3215,267,2057044.00,25.40,-15.45
22-September-2011,630.00,638.00,620.15,623.70,628.155965341035325483,4501,298,2827330.00,17.85,-6.30
23-September-2011,622.00,634.60,613.25,620.25,622.186443236714975845,6624,375,4121363.00,21.35,-1.75
26-September-2011,614.00,623.00,602.00,607.85,609.267568974492451847,1921,185,1170403.00,21.00,-6.15
27-September-2011,628.00,628.00,611.60,613.55,615.183393501805054151,1385,86,852029.00,16.40,-14.45
28-September-2011,608.10,619.90,602.00,604.65,609.013532968615030233,3473,180,2115104.00,17.90,-3.45
29-September-2011,609.00,609.00,600.00,603.85,603.025465838509316770,1610,99,970871.00,9.00,-5.15
30-September-2011,609.00,617.20,590.00,597.05,600.325385286420471067,3439,209,2064519.00,27.20,-11.95
3-October-2011,607.95,607.95,595.00,596.60,599.459472899055196419,2011,111,1205513.00,12.95,-11.35
4-October-2011,633.00,633.00,587.15,591.25,596.030401737242128121,1842,169,1097888.00,45.85,-41.75
5-October-2011,600.00,601.80,577.90,582.10,586.299469604243166054,2451,165,1437020.00,23.90,-17.90
7-October-2011,598.50,606.95,590.00,599.75,598.530269553689792311,2263,135,1354474.00,16.95,1.25
10-October-2011,614.00,614.00,595.00,598.80,601.224147568474007825,1789,85,1075590.00,19.00,-15.20
11-October-2011,600.00,611.95,586.65,590.50,596.920781334780249593,1843,123,1100125.00,25.30,-9.50
12-October-2011,614.00,614.00,590.00,591.90,595.319066147859922178,1799,86,1070979.00,24.00,-22.10
13-October-2011,609.00,609.00,582.20,585.50,589.501104972375690607,1810,133,1066997.00,26.80,-23.50
14-October-2011,600.00,600.00,585.20,596.35,594.892651540805960040,2953,164,1756718.00,14.80,-3.65
17-October-2011,568.00,607.00,568.00,590.10,593.352664576802507836,638,64,378559.00,39.00,22.10
18-October-2011,597.70,597.70,582.60,589.90,588.997375328083989501,762,72,448816.00,15.10,-7.80
19-October-2011,603.00,603.00,578.90,580.00,581.648108493932905067,7005,163,4074445.00,24.10,-23.00
20-October-2011,589.35,589.35,580.00,583.20,581.858218318695106649,1594,68,927482.00,9.35,-6.15
21-October-2011,580.00,594.75,578.00,579.45,582.611940298507462686,2010,127,1171050.00,16.75,-0.55
