Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
6-June-2011,603.00,607.00,596.00,598.35,601.887172445359880993,8739,668,5259892.00,11.00,-4.65
7-June-2011,600.00,602.80,594.05,597.90,599.122374157748711850,10092,658,6046343.00,8.75,-2.10
8-June-2011,600.00,603.95,598.70,600.65,601.420864819479429051,4764,349,2865169.00,5.25,0.65
9-June-2011,600.05,607.00,598.05,599.40,600.796580292614137140,5673,354,3408319.00,8.95,-0.65
10-June-2011,599.15,601.50,592.00,595.40,597.338839800230503265,5206,428,3109746.00,9.50,-3.75
13-June-2011,568.00,600.00,568.00,587.45,589.271521942110177404,5355,486,3155549.00,32.00,19.45
14-June-2011,595.00,595.00,583.10,584.35,588.311950504721589058,6142,679,3613412.00,11.90,-10.65
15-June-2011,587.95,589.80,582.50,585.25,585.696348174087043521,3998,427,2341614.00,7.30,-2.70
16-June-2011,578.55,585.00,576.00,579.60,581.332353901403852432,3063,347,1780621.00,9.00,1.05
17-June-2011,580.35,591.00,577.00,586.20,583.225311797178491106,4891,402,2852555.00,14.00,5.85
20-June-2011,590.00,593.00,556.00,571.70,575.236789230460116536,9954,629,5725907.00,37.00,-18.30
21-June-2011,576.90,577.25,556.00,559.75,565.250602409638554216,4565,579,2580369.00,21.25,-17.15
22-June-2011,560.00,560.00,537.35,542.65,546.021036182233441519,8319,730,4542349.00,22.65,-17.35
23-June-2011,542.00,557.00,529.95,552.80,549.886776026392961876,21824,826,12000729.00,27.05,10.80
24-June-2011,556.00,576.00,556.00,567.80,570.132082029892248870,43155,1113,24604050.00,20.00,11.80
27-June-2011,560.00,586.85,558.00,576.55,577.578559273964832671,12341,794,7127897.00,28.85,16.55
28-June-2011,577.80,587.65,577.80,583.05,583.135584777844192070,10038,608,5853515.00,9.85,5.25
29-June-2011,584.85,598.00,583.00,592.40,592.249342297573808827,6842,686,4052170.00,15.00,7.55
30-June-2011,598.80,598.95,578.00,580.50,584.426085640792858223,6609,556,3862472.00,20.95,-18.30
1-July-2011,573.05,594.95,573.05,587.85,587.793542600896860986,5575,450,3276949.00,21.90,14.80
4-July-2011,590.00,600.00,587.20,594.80,594.278125724889816747,4311,582,2561933.00,12.80,4.80
5-July-2011,579.90,619.00,579.90,608.80,611.370785632794366418,25419,1508,15540434.00,39.10,28.90
6-July-2011,612.95,614.50,592.05,606.75,605.107753512781445742,11814,808,7148743.00,22.45,-6.20
7-July-2011,610.00,615.35,605.00,608.40,609.747868172389951601,4339,380,2645696.00,10.35,-1.60
8-July-2011,606.05,613.50,594.00,603.70,607.225394321766561514,6340,579,3849809.00,19.50,-2.35
11-July-2011,609.00,609.00,597.05,599.20,602.002430724355858045,2057,228,1238319.00,11.95,-9.80
12-July-2011,594.35,599.40,586.00,591.80,591.877839029768467475,4535,417,2684166.00,13.40,-2.55
13-July-2011,594.35,599.00,590.00,594.05,594.837398373983739837,2214,209,1316970.00,9.00,-0.30
14-July-2011,594.05,600.05,585.10,596.90,594.770538243626062322,2471,265,1469678.00,14.95,2.85
15-July-2011,604.30,604.30,585.00,589.65,591.787305122494432071,4490,362,2657125.00,19.30,-14.65
18-July-2011,589.50,593.00,582.95,584.80,587.471952908587257617,2888,265,1696619.00,10.05,-4.70
19-July-2011,585.05,589.90,580.00,582.60,585.140234375000000000,5120,393,2995918.00,9.90,-2.45
20-July-2011,588.95,588.95,575.00,577.20,580.728009828009828009,4070,336,2363563.00,13.95,-11.75
21-July-2011,582.95,582.95,569.00,570.90,573.524862923047835129,5289,386,3033373.00,13.95,-12.05
22-July-2011,567.00,574.00,556.60,570.60,565.502213984141694985,9711,782,5491592.00,17.40,3.60
25-July-2011,573.00,581.00,565.10,576.40,574.896850707594179788,10034,480,5768515.00,15.90,3.40
26-July-2011,575.00,578.75,552.90,557.25,565.328917790622992935,12456,835,7041737.00,25.85,-17.75
27-July-2011,578.00,578.00,555.00,560.85,559.802821366302108099,6309,477,3531796.00,23.00,-17.15
28-July-2011,557.10,559.30,540.00,544.85,549.434357185399472475,11753,592,6457502.00,19.30,-12.25
29-July-2011,540.00,558.40,535.00,550.45,550.066857546573457777,26893,1404,14792948.00,23.40,10.45
1-August-2011,559.70,559.85,539.00,540.50,545.904414827155351936,4802,353,2621433.00,20.85,-19.20
2-August-2011,545.00,545.00,530.10,533.90,534.116051795748839482,4093,283,2186137.00,14.90,-11.10
3-August-2011,530.00,535.00,520.00,531.00,527.257311217808817110,4582,381,2415893.00,15.00,1.00
4-August-2011,546.65,546.65,520.15,522.00,528.705608512524939037,4511,325,2384991.00,26.50,-24.65
5-August-2011,518.00,518.00,497.30,499.85,503.401814516129032258,14880,1111,7490619.00,20.70,-18.15
8-August-2011,497.30,499.95,484.65,491.20,490.806170448256779192,7228,458,3547547.00,15.30,-6.10
9-August-2011,488.90,495.00,475.00,481.05,484.341730368311327310,11512,626,5575742.00,20.00,-7.85
10-August-2011,501.55,501.55,480.00,484.65,485.190403854083027712,46081,426,22358059.00,21.55,-16.90
11-August-2011,466.25,496.00,461.15,483.55,484.907542579075425790,4521,294,2192267.00,34.85,17.30
12-August-2011,484.10,489.80,479.95,480.85,483.662477558348294434,3342,256,1616400.00,9.85,-3.25
16-August-2011,485.00,485.00,450.00,452.15,463.951260223668836588,11982,864,5559064.00,35.00,-32.85
17-August-2011,457.50,457.50,427.00,444.00,438.394031384270502521,21412,1770,9386893.00,30.50,-13.50
18-August-2011,446.00,457.00,426.00,438.30,435.779242990233583869,22219,1084,9682579.00,31.00,-7.70
19-August-2011,428.00,430.00,413.00,422.00,420.522183728207420652,17896,943,7525665.00,17.00,-6.00
22-August-2011,422.35,445.00,417.55,441.60,433.360675606990655667,25577,1482,11084066.00,27.45,19.25
23-August-2011,445.00,454.75,434.15,449.50,443.362578881554075668,34387,1118,15245909.00,20.60,4.50
24-August-2011,450.00,453.00,443.50,448.30,447.660647902283590015,11298,407,5057670.00,9.50,-1.70
25-August-2011,446.65,450.10,440.40,447.25,445.842420099128354127,5851,339,2608624.00,9.70,0.60
26-August-2011,440.20,442.90,432.35,438.10,437.681681097383013911,10279,528,4498930.00,10.55,-2.10
29-August-2011,440.05,456.00,440.05,452.40,449.895673813169984686,5224,374,2350255.00,15.95,12.35
30-August-2011,453.15,468.70,453.15,464.10,463.766529653552554315,8515,533,3948972.00,15.55,10.95
2-September-2011,463.00,467.30,458.20,464.10,463.274301873453517143,5658,401,2621206.00,9.10,1.10
5-September-2011,465.00,475.00,459.25,471.90,468.548564654077398594,11809,592,5533090.00,15.75,6.90
6-September-2011,479.70,479.70,466.05,468.35,470.518313752591568762,7235,502,3404200.00,13.65,-11.35
7-September-2011,475.70,478.00,469.00,472.95,473.870053475935828877,3740,381,1772274.00,9.00,-2.75
8-September-2011,474.35,476.50,467.60,470.05,472.622550453348932436,6838,532,3231793.00,8.90,-4.30
9-September-2011,470.00,470.00,452.10,455.85,458.981836345472709109,11011,987,5053849.00,17.90,-14.15
12-September-2011,450.00,462.00,445.50,455.85,450.850954198473282442,5240,605,2362459.00,16.50,5.85
13-September-2011,459.25,477.65,456.10,473.25,467.551113613613613613,15984,891,7473337.00,21.55,14.00
14-September-2011,482.00,493.00,480.00,483.75,486.472470510051503572,60190,2697,29280778.00,13.00,1.75
15-September-2011,487.85,488.50,477.80,479.90,482.041444498303441589,12378,665,5966709.00,10.70,-7.95
16-September-2011,481.00,486.00,473.05,481.45,479.877399330229518908,12243,687,5875139.00,12.95,0.45
19-September-2011,480.80,481.45,473.00,475.35,476.777159512453630100,3774,305,1799357.00,8.45,-5.45
20-September-2011,474.00,485.20,464.90,479.45,478.878916515059632100,9894,618,4738028.00,20.30,5.45
21-September-2011,480.00,495.00,480.00,492.15,488.862664222425908952,19638,1062,9600285.00,15.00,12.15
22-September-2011,473.20,484.25,425.00,468.05,472.608087717533447339,19882,924,9396394.00,59.25,-5.15
23-September-2011,462.00,462.00,449.95,454.75,455.846640992725716730,11685,652,5326568.00,12.05,-7.25
26-September-2011,456.50,456.50,438.00,449.20,447.517011267913794989,9141,826,4090753.00,18.50,-7.30
27-September-2011,460.50,479.00,460.25,472.10,468.310402807222750201,13679,844,6406018.00,18.75,11.60
28-September-2011,473.30,473.30,458.95,462.60,465.139423076923076923,5200,423,2418725.00,14.35,-10.70
29-September-2011,459.00,467.95,455.70,463.00,461.017555266579973992,6152,414,2836180.00,12.25,4.00
30-September-2011,455.50,471.75,443.90,458.50,459.547832404940663598,4129,447,1897473.00,27.85,3.00
3-October-2011,450.00,462.00,448.05,457.50,455.297441664323868428,3557,296,1619493.00,13.95,7.50
4-October-2011,458.00,467.00,454.00,455.85,458.876038142110119963,3251,296,1491806.00,13.00,-2.15
5-October-2011,463.60,463.60,445.10,450.70,451.761130136986301369,3504,360,1582971.00,18.50,-12.90
7-October-2011,457.00,469.90,455.05,467.60,462.436105476673427991,4930,385,2279810.00,14.85,10.60
10-October-2011,467.00,499.90,465.00,492.00,484.452222506612063817,23442,902,11356529.00,34.90,25.00
11-October-2011,494.00,503.90,482.05,489.25,490.518972820331803741,11332,732,5558561.00,21.85,-4.75
12-October-2011,495.00,502.00,483.65,489.70,493.695785654479486463,10749,769,5306736.00,18.35,-5.30
13-October-2011,493.60,495.50,482.05,487.80,491.456838273530941237,7692,385,3780286.00,13.45,-5.80
14-October-2011,487.80,523.00,485.05,514.40,513.022725830000634799,110271,6051,56571529.00,37.95,26.60
17-October-2011,520.00,522.00,506.95,508.30,514.009995041624259505,38319,1293,19696349.00,15.05,-11.70
18-October-2011,501.00,501.00,489.10,491.40,494.888127051101734646,17064,648,8444771.00,11.90,-9.60
19-October-2011,498.45,499.85,490.00,493.85,495.789459710606664011,7533,286,3734782.00,9.85,-4.60
20-October-2011,495.00,499.20,480.80,484.15,491.545683070675819394,10343,610,5084057.00,18.40,-10.85
21-October-2011,480.50,491.85,476.10,481.40,483.382063536688220410,17785,562,8596950.00,15.75,0.90
24-October-2011,485.00,493.50,478.30,482.25,486.401540950110675974,23492,412,11426545.00,15.20,-2.75
25-October-2011,481.80,492.00,480.00,484.50,483.242099740772744105,32404,497,15658977.00,12.00,2.70
26-October-2011,488.00,498.00,485.00,496.50,494.876202295997517840,3223,188,1594986.00,13.00,8.50
28-October-2011,497.20,528.95,497.20,524.50,519.310742544126597687,65720,3293,34129102.00,31.75,27.30
31-October-2011,526.00,543.00,525.00,528.70,529.721491536880051820,35507,985,18808821.00,18.00,2.70
1-November-2011,522.60,528.50,515.40,522.15,523.833338869328373081,60212,427,31541053.00,13.10,-0.45
2-November-2011,513.60,521.50,512.75,518.35,516.493340626281963626,36565,313,18885579.00,8.75,4.75
3-November-2011,516.00,536.00,516.00,531.95,526.403700857984377000,15618,852,8221373.00,20.00,15.95
4-November-2011,540.00,550.00,536.10,542.85,543.555521752357773045,23009,1131,12506669.00,13.90,2.85
8-November-2011,546.05,557.60,546.05,548.05,549.171774721676489849,15270,723,8385853.00,11.55,2.00
9-November-2011,550.00,553.85,535.00,537.50,547.630203928202236631,10641,561,5827333.00,18.85,-12.50
11-November-2011,559.90,564.00,525.00,528.50,530.942971887550200803,4980,363,2644096.00,39.00,-31.40
14-November-2011,544.40,544.40,506.00,516.30,527.363583138173302107,5124,498,2702211.00,38.40,-28.10
15-November-2011,516.00,521.00,495.20,499.85,506.002306600425833924,5636,665,2851829.00,25.80,-16.15
16-November-2011,499.00,499.00,483.25,485.90,492.250209978162271123,11906,542,5860731.00,15.75,-13.10
17-November-2011,492.80,495.00,483.70,493.05,492.242185447859206724,3807,272,1873966.00,11.30,0.25
18-November-2011,486.25,497.75,477.00,488.70,486.672580645161290322,8680,473,4224318.00,20.75,2.45
21-November-2011,489.00,492.00,476.00,481.25,484.623770491803278688,3660,353,1773723.00,16.00,-7.75
22-November-2011,478.25,487.00,467.45,473.55,473.345910845910845910,5698,498,2697125.00,19.55,-4.70
23-November-2011,463.25,473.80,437.00,447.40,451.957174638487208008,16182,1246,7313571.00,36.80,-15.85
24-November-2011,455.00,466.00,440.00,462.40,454.971753830351793203,11683,867,5315435.00,26.00,7.40
25-November-2011,458.00,490.00,458.00,484.00,482.454198341395991706,173640,946,83773347.00,32.00,26.00
28-November-2011,488.00,506.95,488.00,497.00,499.678099885189437428,13936,695,6963514.00,18.95,9.00
29-November-2011,495.00,503.00,493.05,500.60,498.975720962042630799,61411,560,30642598.00,9.95,5.60
30-November-2011,496.00,508.00,495.15,504.40,501.054015227697169946,6961,488,3487837.00,12.85,8.40
1-December-2011,512.20,523.85,500.00,503.95,513.113548265103526519,10577,777,5427202.00,23.85,-8.25
2-December-2011,503.95,518.50,503.00,514.75,514.442146974063400576,27760,752,14280914.00,15.50,10.80
5-December-2011,515.00,521.25,511.50,516.95,518.130334728033472803,4780,341,2476663.00,9.75,1.95
7-December-2011,522.00,527.90,512.55,515.90,520.693307905686546463,5768,387,3003359.00,15.35,-6.10
8-December-2011,518.00,519.95,500.10,507.55,509.794653349001175088,6808,451,3470682.00,19.85,-10.45
9-December-2011,501.00,508.50,492.70,504.55,501.239956092206366630,4555,420,2283148.00,15.80,3.55
12-December-2011,505.00,505.00,480.00,484.15,489.772664519098021168,6519,781,3192828.00,25.00,-20.85
13-December-2011,488.00,488.00,478.00,480.10,480.974978553045467543,6994,379,3363939.00,10.00,-7.90
14-December-2011,484.35,489.50,476.25,478.10,481.778321796386966064,5923,555,2853573.00,13.25,-6.25
15-December-2011,483.00,483.00,463.50,472.25,470.861708065866592241,7166,617,3374195.00,19.50,-10.75
16-December-2011,480.00,480.00,456.00,460.75,467.758713861118616590,3701,388,1731175.00,24.00,-19.25
19-December-2011,456.00,470.05,445.10,459.75,451.710107747562852744,11694,644,5282298.00,24.95,3.75
20-December-2011,470.00,475.00,452.15,468.65,465.011927420378124603,23643,1822,10994277.00,22.85,-1.35
21-December-2011,472.00,484.00,460.05,470.30,470.668339344519366473,6377,521,3001452.00,23.95,-1.70
22-December-2011,468.00,470.00,454.10,464.85,462.989456462461370659,5501,477,2546905.00,15.90,-3.15
23-December-2011,466.00,474.75,460.95,464.80,468.030442568431823995,3909,462,1829531.00,13.80,-1.20
26-December-2011,461.00,479.00,458.00,469.30,467.766560073092736409,6567,536,3071823.00,21.00,8.30
27-December-2011,470.00,480.00,465.00,466.80,471.759360839494395420,4193,463,1978087.00,15.00,-3.20
28-December-2011,467.00,479.75,459.00,469.45,465.758181461885165588,5103,347,2376764.00,20.75,2.45
29-December-2011,469.30,472.95,452.10,455.95,461.989137547441434367,7641,490,3530059.00,20.85,-13.35
30-December-2011,455.00,465.00,451.95,455.15,455.409248554913294797,10380,582,4727148.00,13.05,0.15
2-January-2012,458.00,461.85,453.50,460.20,458.535983550376970527,4377,335,2007012.00,8.35,2.20
3-January-2012,463.90,473.60,462.00,467.90,467.084993899959333062,9836,473,4594248.00,11.60,4.00
4-January-2012,466.85,482.90,464.35,473.05,475.231139179013845032,20585,1099,9782633.00,18.55,6.20
5-January-2012,473.70,476.35,464.00,471.55,469.121615173565549326,16766,768,7865293.00,12.35,-2.15
6-January-2012,467.10,480.00,466.10,475.05,474.352360308285163776,8304,495,3939022.00,13.90,7.95
7-January-2012,475.00,489.85,473.25,484.80,484.189948662523642258,3701,184,1791987.00,16.60,9.80
9-January-2012,494.80,509.00,494.80,497.80,503.047743379336068631,24129,1427,12138039.00,14.20,3.00
10-January-2012,500.00,508.00,492.15,505.95,505.172718276623277765,13137,705,6636454.00,15.85,5.95
11-January-2012,505.65,517.00,504.90,512.80,512.388983920629490249,8769,699,4493139.00,12.10,7.15
12-January-2012,507.00,521.00,507.00,515.60,516.165640782828282828,12672,705,6540851.00,14.00,8.60
13-January-2012,515.00,520.00,511.25,516.20,515.906998081574776878,11989,673,6185209.00,8.75,1.20
16-January-2012,515.85,518.00,508.50,517.15,513.925032313657906074,4642,362,2385640.00,9.50,1.30
17-January-2012,517.00,534.80,517.00,527.35,528.004768097095795405,11535,876,6090535.00,17.80,10.35
18-January-2012,531.00,531.80,505.00,508.70,518.012730358874878758,8248,728,4272569.00,26.80,-22.30
19-January-2012,519.00,541.00,515.00,533.70,532.740947957352475456,18946,1718,10093310.00,26.00,14.70
20-January-2012,542.00,546.85,524.00,527.95,534.298331907613344739,14028,964,7495137.00,22.85,-14.05
23-January-2012,537.00,542.80,527.55,529.15,533.029239766081871345,6840,380,3645920.00,15.25,-7.85
24-January-2012,530.00,537.00,524.10,531.15,532.278388278388278388,8463,474,4504672.00,12.90,1.15
25-January-2012,534.95,537.45,507.00,527.60,528.872766208831782602,13542,613,7161995.00,30.45,-7.35
27-January-2012,525.00,539.00,513.45,529.85,522.530730955217604597,14269,1021,7455991.00,25.55,4.85
30-January-2012,539.35,543.95,513.05,520.95,532.702173756048241496,13847,700,7376327.00,30.90,-18.40
31-January-2012,516.05,533.00,511.00,530.60,523.313582645297069774,12354,819,6465016.00,22.00,14.55
1-February-2012,531.00,540.00,523.05,535.20,532.810371743584739974,20498,1177,10921547.00,16.95,4.20
2-February-2012,537.00,543.95,529.40,532.35,534.491815117958594126,8308,551,4440558.00,14.55,-4.65
3-February-2012,531.05,556.70,525.00,548.05,543.181181900726392251,26432,1062,14357365.00,31.70,17.00
6-February-2012,441.00,591.00,441.00,574.20,578.801582459485224022,52450,2869,30358143.00,150.00,133.20
7-February-2012,571.00,579.80,547.05,549.70,560.519668641243983709,21608,1480,12111709.00,32.75,-21.30
8-February-2012,551.90,561.85,551.90,556.10,557.930210990030141432,8626,612,4812706.00,9.95,4.20
9-February-2012,551.55,575.00,551.55,571.80,567.577516950601105350,17551,1154,9961553.00,23.45,20.25
10-February-2012,574.00,583.00,571.50,577.55,575.272670807453416149,22540,724,12966646.00,11.50,3.55
13-February-2012,584.75,588.80,565.00,572.05,575.096980348298450231,12518,776,7199064.00,23.80,-12.70
14-February-2012,575.50,592.90,570.00,588.00,584.749116919816319321,11324,595,6621699.00,22.90,12.50
15-February-2012,580.00,601.50,580.00,595.30,593.836501470921022855,17676,1040,10496654.00,21.50,15.30
16-February-2012,601.05,615.00,593.00,607.40,604.579915134370579915,25452,1239,15387768.00,22.00,6.35
17-February-2012,611.60,642.85,610.30,634.45,631.606245155575240837,45155,1974,28520180.00,32.55,22.85
21-February-2012,636.70,639.90,618.30,638.65,632.202054244904509709,18693,900,11817753.00,21.60,1.95
22-February-2012,626.00,657.95,626.00,640.05,646.379880819569535522,36751,2155,23755107.00,31.95,14.05
23-February-2012,630.65,653.00,620.00,644.85,638.215936082919455841,13893,887,8866734.00,33.00,14.20
24-February-2012,653.30,657.60,638.00,652.95,648.704001268565991860,18919,1034,12272831.00,19.60,-0.35
27-February-2012,655.20,658.40,637.00,642.90,641.012665805475912914,31739,1291,20345101.00,21.40,-12.30
28-February-2012,642.00,672.00,638.20,668.90,657.653464950843257933,25022,1569,16455805.00,33.80,26.90
29-February-2012,675.00,676.00,653.15,663.45,665.026119082395394793,11639,858,7740239.00,22.85,-11.55
1-March-2012,659.30,674.90,658.10,662.90,666.706970476540487565,8163,499,5442329.00,16.80,3.60
2-March-2012,665.90,671.00,657.00,662.60,662.999412731970871505,8514,536,5644777.00,14.00,-3.30
3-March-2012,660.00,660.05,656.05,656.95,657.050279329608938547,358,21,235224.00,4.00,-3.05
5-March-2012,660.00,671.80,651.65,665.70,662.955864232104850453,8927,604,5918207.00,20.15,5.70
6-March-2012,661.00,680.00,657.00,669.85,670.075160117708153020,28885,1007,19355121.00,23.00,8.85
7-March-2012,664.15,677.00,652.00,659.20,664.979789318961293483,8164,565,5428895.00,25.00,-4.95
9-March-2012,660.00,684.00,660.00,667.45,669.256021694050087733,6269,426,4195566.00,24.00,7.45
12-March-2012,690.00,692.10,675.00,688.55,684.802262766282743858,9811,639,6718595.00,17.10,-1.45
13-March-2012,695.00,700.00,673.00,681.10,679.819356042930471301,53575,1466,36421322.00,27.00,-13.90
14-March-2012,684.25,698.00,676.30,687.25,686.870060739330392459,74581,4107,51227456.00,21.70,3.00
15-March-2012,687.00,687.00,675.60,681.85,680.345144768474966029,9567,632,6508862.00,11.40,-5.15
16-March-2012,694.90,702.15,681.00,684.95,691.404601454653406560,33685,1816,23289964.00,21.15,-9.95
19-March-2012,677.85,687.20,662.55,670.15,680.831852539451001193,7541,390,5134153.00,24.65,-7.70
20-March-2012,660.00,666.25,655.90,661.25,661.614579817752278096,5926,329,3920728.00,10.35,1.25
21-March-2012,660.00,696.00,654.75,688.70,680.020889885518706479,8473,511,5761817.00,41.25,28.70
22-March-2012,679.10,696.00,668.00,672.95,684.970363636363636363,5500,588,3767337.00,28.00,-6.15
23-March-2012,675.50,688.00,665.25,680.45,677.109674081738230729,7732,346,5235412.00,22.75,4.95
26-March-2012,683.65,683.85,665.00,668.40,671.979353680430879712,3342,412,2245755.00,18.85,-15.25
27-March-2012,665.00,666.40,648.00,656.30,656.443327239488117001,10940,642,7181490.00,18.40,-8.70
28-March-2012,625.95,646.50,615.55,626.30,624.378780714198147077,57099,2001,35651404.00,30.95,0.35
29-March-2012,614.35,619.10,597.75,611.65,610.211744850268305348,46216,799,28201546.00,21.35,-2.70
30-March-2012,610.00,679.90,591.00,651.50,619.157150329532377863,47795,3414,29592616.00,88.90,41.50
2-April-2012,640.00,643.90,617.80,620.85,625.363915311445228597,22813,1339,14266427.00,26.10,-19.15
3-April-2012,624.60,630.10,615.00,617.15,621.959674248806515023,17805,1447,11073992.00,15.10,-7.45
4-April-2012,602.85,625.95,601.25,618.25,614.492699535127348916,15273,865,9385147.00,24.70,15.40
9-April-2012,608.00,613.00,578.95,608.25,608.376391762735244851,10149,740,6174412.00,34.05,0.25
10-April-2012,603.00,603.00,577.20,580.70,586.797823596792668957,26190,1460,15368235.00,25.80,-22.30
11-April-2012,556.00,576.60,554.70,565.85,566.186835999511539870,16378,982,9273008.00,21.90,9.85
12-April-2012,565.00,585.00,560.40,581.55,576.170239255169427303,18474,1018,10644169.00,24.60,16.55
13-April-2012,583.80,594.70,580.05,583.35,588.756480414746543778,6944,615,4088325.00,14.65,-0.45
16-April-2012,572.30,584.00,572.30,580.00,579.007063393960798163,5663,475,3278917.00,11.70,7.70
17-April-2012,581.90,588.55,570.55,574.60,577.882190773754824480,5441,338,3144257.00,18.00,-7.30
18-April-2012,581.00,585.10,575.00,575.30,578.356660362064306944,3701,218,2140498.00,10.10,-5.70
19-April-2012,573.75,592.85,548.00,563.40,560.226245247053422620,100201,5076,56135230.00,44.85,-10.35
20-April-2012,560.50,560.50,536.00,554.00,552.867110775358835244,14561,786,8050298.00,24.50,-6.50
23-April-2012,554.00,565.00,542.15,551.50,557.522042410714285714,3584,419,1998159.00,22.85,-2.50
24-April-2012,550.00,550.00,541.65,546.00,546.762779438986188238,7023,431,3839915.00,8.35,-4.00
25-April-2012,542.10,552.00,542.10,547.05,547.746303763440860215,2976,289,1630093.00,9.90,4.95
26-April-2012,545.00,552.30,528.00,534.05,542.184429641965029142,4804,548,2604654.00,24.30,-10.95
27-April-2012,539.70,544.25,520.00,529.75,531.039528795811518324,3820,445,2028571.00,24.25,-9.95
28-April-2012,529.20,533.00,527.20,530.55,529.852941176470588235,272,52,144120.00,5.80,1.35
30-April-2012,521.45,535.00,520.20,534.00,531.139594232486921015,7837,511,4162541.00,14.80,12.55
2-May-2012,536.00,541.45,526.10,528.00,534.656172839506172839,3240,292,1732286.00,15.35,-8.00
3-May-2012,527.00,529.00,518.15,521.45,523.010496183206106870,3144,294,1644345.00,10.85,-5.55
4-May-2012,519.50,524.50,512.35,518.80,517.716121495327102803,1712,253,886330.00,12.15,-0.70
7-May-2012,516.00,521.45,500.90,514.85,511.333539603960396039,3232,302,1652630.00,20.55,-1.15
8-May-2012,515.00,528.00,514.40,522.65,522.079849498327759197,9568,496,4995260.00,13.60,7.65
9-May-2012,524.75,530.00,515.05,521.45,524.497031840259039395,1853,258,971893.00,14.95,-3.30
10-May-2012,518.40,536.65,513.90,527.60,529.940027260336210813,6603,418,3499194.00,22.75,9.20
11-May-2012,525.00,530.00,515.70,528.05,525.892863197152059671,5899,389,3102242.00,14.30,3.05
14-May-2012,517.00,519.95,501.20,505.15,511.403508771929824561,5643,450,2885850.00,18.75,-11.85
15-May-2012,500.00,522.95,492.10,517.75,508.807778131973222824,6274,476,3192260.00,30.85,17.75
