Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
6-June-2011,140.60,143.00,139.80,142.20,141.651616499442586399,1794,57,254123.00,3.20,1.60
7-June-2011,142.50,142.50,139.85,140.40,140.132978723404255319,376,27,52690.00,2.65,-2.10
8-June-2011,141.10,158.95,141.10,152.05,152.246446503076161516,14141,601,2152917.00,17.85,10.95
9-June-2011,149.15,158.55,149.15,157.10,156.940268946106536015,9593,355,1505528.00,9.40,7.95
10-June-2011,157.00,157.50,151.00,152.75,153.154215976331360946,2704,96,414129.00,6.50,-4.25
13-June-2011,154.90,156.00,151.00,151.55,154.076023391812865497,1881,107,289817.00,5.00,-3.35
14-June-2011,153.00,154.95,149.15,150.40,151.320552147239263803,1956,69,295983.00,5.80,-2.60
15-June-2011,152.00,152.00,143.50,146.80,146.659634582783951779,5309,168,778616.00,8.50,-5.20
16-June-2011,147.10,152.50,144.30,147.40,147.169711733658140479,2463,168,362479.00,8.20,0.30
17-June-2011,145.00,152.60,144.05,146.25,146.839214821349801499,4534,159,665769.00,8.55,1.25
20-June-2011,146.50,146.50,141.00,141.45,141.869343065693430656,1370,73,194361.00,5.50,-5.05
21-June-2011,142.00,144.85,142.00,142.50,142.657142857142857142,455,28,64909.00,2.85,0.50
22-June-2011,143.00,143.00,138.05,139.90,139.897524467472654001,1737,92,243002.00,4.95,-3.10
23-June-2011,139.25,140.00,135.05,136.40,138.136624569460390355,1742,113,240634.00,4.95,-2.85
24-June-2011,140.00,141.95,137.00,137.60,138.032602886157135221,1871,97,258259.00,4.95,-2.40
27-June-2011,139.00,142.00,137.00,139.05,139.583076923076923076,650,54,90729.00,5.00,0.05
28-June-2011,137.00,152.00,137.00,151.10,148.793457648546144121,6328,266,941565.00,15.00,14.10
29-June-2011,151.10,156.00,148.00,154.50,151.526023594725884802,2882,135,436698.00,8.00,3.40
30-June-2011,156.00,156.60,153.70,154.70,154.808089500860585197,4648,114,719548.00,2.90,-1.30
1-July-2011,157.50,159.75,155.00,156.10,156.751135966445298846,2861,111,448465.00,4.75,-1.40
4-July-2011,162.00,167.20,161.65,165.50,164.470421672916507231,78402,896,12894810.00,5.55,3.50
5-July-2011,165.60,169.00,162.55,164.05,165.728849531615925058,13664,342,2264519.00,6.45,-1.55
6-July-2011,163.05,165.00,162.00,163.15,163.250561797752808988,2670,73,435879.00,3.00,0.10
7-July-2011,162.05,164.70,162.00,163.90,163.005945303210463733,6728,123,1096704.00,2.70,1.85
8-July-2011,162.05,164.50,160.00,160.70,162.068698673404927353,6332,166,1026219.00,4.50,-1.35
11-July-2011,158.90,163.95,158.90,161.15,162.157390035438815926,4797,138,777869.00,5.05,2.25
