Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
6-June-2011,244.05,245.80,238.55,239.25,240.789526686807653575,1986,82,478208.00,7.25,-4.80
7-June-2011,244.00,244.00,237.35,238.10,238.699863574351978171,733,62,174967.00,6.65,-5.90
8-June-2011,236.55,244.50,236.55,242.35,243.203007518796992481,665,28,161730.00,7.95,5.80
9-June-2011,237.75,238.55,235.35,236.40,236.738872403560830860,1685,69,398905.00,3.20,-1.35
10-June-2011,245.10,245.10,235.55,236.65,237.447500000000000000,1200,58,284937.00,9.55,-8.45
13-June-2011,233.00,240.00,233.00,233.60,235.909441233140655105,1038,54,244874.00,7.00,0.60
14-June-2011,231.65,237.50,231.00,234.70,234.083778014941302027,1874,65,438673.00,6.50,3.05
15-June-2011,237.95,242.40,232.00,239.65,239.125301204819277108,1660,101,396948.00,10.40,1.70
16-June-2011,238.05,240.00,235.00,237.40,236.968312453942520265,1357,42,321566.00,5.00,-0.65
17-June-2011,227.95,240.00,227.95,235.30,235.506095437129919888,2871,64,676138.00,12.05,7.35
20-June-2011,239.90,239.90,233.00,233.05,233.622983870967741935,992,24,231754.00,6.90,-6.85
21-June-2011,236.00,236.05,228.05,230.30,233.029411764705882352,3264,85,760608.00,8.00,-5.70
22-June-2011,234.00,234.00,220.20,221.25,224.941312741312741312,2590,96,582598.00,13.80,-12.75
23-June-2011,222.00,225.05,222.00,224.65,223.043788187372708757,982,23,219029.00,3.05,2.65
24-June-2011,228.95,230.00,223.15,225.95,225.820876288659793814,776,56,175237.00,6.85,-3.00
27-June-2011,233.90,233.90,227.10,229.00,228.680589680589680589,407,17,93073.00,6.80,-4.90
28-June-2011,228.20,233.95,226.00,228.80,228.896843725943033102,1299,51,297337.00,7.95,0.60
29-June-2011,231.85,231.85,230.00,231.00,230.322660098522167487,812,12,187022.00,1.85,-0.85
30-June-2011,231.00,233.80,229.00,230.20,230.132322175732217573,1912,41,440013.00,4.80,-0.80
1-July-2011,222.30,233.50,222.30,229.95,229.593258426966292134,1780,31,408676.00,11.20,7.65
4-July-2011,234.00,234.00,228.20,228.70,229.122881355932203389,472,14,108146.00,5.80,-5.30
5-July-2011,229.00,229.00,226.00,227.95,227.737042682926829268,1312,32,298791.00,3.00,-1.05
6-July-2011,227.00,232.50,227.00,228.00,227.965290245362058647,1671,23,380930.00,5.50,1.00
7-July-2011,239.90,239.90,228.90,233.50,232.037657558913332811,12773,261,2963817.00,11.00,-6.40
8-July-2011,233.00,235.00,233.00,234.90,234.821134492223238792,2186,26,513319.00,2.00,1.90
11-July-2011,236.00,240.40,230.00,239.10,235.464075067024128686,3730,92,878281.00,10.40,3.10
12-July-2011,232.00,237.90,231.50,236.85,234.347556035646772886,3703,126,867789.00,6.40,4.85
13-July-2011,230.00,249.90,230.00,240.25,242.745348837209302325,3440,147,835044.00,19.90,10.25
14-July-2011,237.00,245.00,237.00,243.45,244.637417594907933621,4399,84,1076160.00,8.00,6.45
15-July-2011,237.00,245.00,237.00,243.85,243.010760953112990007,1301,46,316157.00,8.00,6.85
18-July-2011,249.00,249.00,237.50,242.10,242.194344882516925527,2511,105,608150.00,11.50,-6.90
19-July-2011,242.00,243.50,238.70,242.75,241.512418300653594771,765,32,184757.00,4.80,0.75
20-July-2011,249.00,252.00,235.25,236.85,242.696287519747235387,2532,122,614507.00,16.75,-12.15
21-July-2011,240.00,242.00,236.00,236.10,239.813317479191438763,1682,49,403366.00,6.00,-3.90
22-July-2011,244.25,244.25,236.60,238.50,238.257604562737642585,1052,37,250647.00,7.65,-5.75
25-July-2011,244.00,244.00,236.75,237.85,238.833097595473833097,707,36,168855.00,7.25,-6.15
26-July-2011,240.90,241.00,233.70,236.35,236.296915644741731698,2691,72,635875.00,7.30,-4.55
27-July-2011,241.85,241.85,235.00,236.50,236.946061643835616438,1168,47,276753.00,6.85,-5.35
28-July-2011,239.45,239.45,235.00,235.30,235.814345991561181434,474,28,111776.00,4.45,-4.15
29-July-2011,231.35,238.95,231.35,234.65,234.880826636050516647,4355,143,1022906.00,7.60,3.30
1-August-2011,234.00,234.00,226.05,228.90,232.073336100733361007,7227,123,1677194.00,7.95,-5.10
2-August-2011,225.00,232.00,225.00,225.60,227.021888680425265791,1599,61,363008.00,7.00,0.60
3-August-2011,220.50,234.00,220.50,228.40,228.497942386831275720,1215,49,277625.00,13.50,7.90
4-August-2011,228.00,232.95,225.00,225.90,227.551907719609582963,1127,50,256451.00,7.95,-2.10
5-August-2011,225.00,228.90,220.05,221.95,222.774937877174298899,2817,75,627557.00,8.85,-3.05
8-August-2011,216.10,223.85,216.00,221.50,220.081876724931002759,1087,39,239229.00,7.85,5.40
9-August-2011,220.00,220.95,213.25,217.00,216.508985879332477535,1558,50,337321.00,7.70,-3.00
10-August-2011,239.90,239.90,221.15,227.95,227.230611196712891628,1947,50,442418.00,18.75,-11.95
11-August-2011,220.00,227.00,218.30,226.00,222.565714285714285714,175,13,38949.00,8.70,6.00
12-August-2011,234.50,234.50,215.10,218.20,222.068723702664796633,1426,81,316670.00,19.40,-16.30
16-August-2011,228.90,228.90,218.40,219.45,219.550239234449760765,418,20,91772.00,10.50,-9.45
17-August-2011,216.60,223.95,212.05,213.15,215.722172485825126827,3351,50,722885.00,11.90,-3.45
18-August-2011,226.30,226.30,210.20,211.00,212.296296296296296296,1674,36,355384.00,16.10,-15.30
19-August-2011,216.00,216.00,210.00,215.25,212.536328125000000000,2560,50,544093.00,6.00,-0.75
22-August-2011,210.00,224.45,210.00,216.35,217.800197823936696340,2022,49,440392.00,14.45,6.35
23-August-2011,219.85,219.85,214.15,216.75,216.701333333333333333,375,16,81263.00,5.70,-3.10
24-August-2011,218.00,220.45,215.00,215.05,215.439513998943475964,1893,56,407827.00,5.45,-2.95
25-August-2011,219.50,219.65,213.50,215.65,215.646003262642740619,1226,17,264382.00,6.15,-3.85
26-August-2011,223.95,223.95,210.45,216.25,215.327171903881700554,1082,31,232984.00,13.50,-7.70
29-August-2011,208.00,221.00,208.00,215.05,215.547576301615798922,557,17,120060.00,13.00,7.05
30-August-2011,227.45,227.45,215.00,217.55,218.215805471124620060,987,37,215379.00,12.45,-9.90
2-September-2011,217.55,223.50,216.00,216.75,217.458745874587458745,1212,32,263560.00,7.50,-0.80
5-September-2011,222.55,222.55,215.00,215.30,216.400403768506056527,1486,41,321571.00,7.55,-7.25
6-September-2011,215.25,219.95,215.25,217.65,217.719389386189258312,12512,50,2724105.00,4.70,2.40
