Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
6-June-2011,605.00,638.00,599.00,617.20,624.327414722981018421,28554,1763,17827045.00,39.00,12.20
7-June-2011,613.00,625.00,592.65,614.95,616.918427158383196971,8189,519,5051945.00,32.35,1.95
8-June-2011,610.30,628.00,610.00,611.35,620.933353080568720379,10128,581,6288813.00,18.00,1.05
9-June-2011,617.00,622.30,611.05,613.55,616.083222664895971668,4518,266,2783464.00,11.25,-3.45
10-June-2011,617.00,621.00,611.25,614.95,615.244589566405953375,13169,226,8102156.00,9.75,-2.05
13-June-2011,615.00,615.60,599.10,609.95,606.608158575122091353,3481,290,2111603.00,16.50,-5.05
14-June-2011,610.00,612.70,602.00,610.00,609.914298323036187113,11330,248,6910329.00,10.70,0.00
15-June-2011,610.10,618.75,608.00,614.75,614.518981688253684680,2239,156,1375908.00,10.75,4.65
16-June-2011,609.90,612.70,598.05,603.90,605.224661071659134925,4647,239,2812479.00,14.65,-6.00
17-June-2011,607.90,607.90,578.50,591.65,588.485658726300437530,14399,859,8473605.00,29.40,-16.25
20-June-2011,592.25,605.00,586.00,593.05,593.129458225348636307,8103,276,4806128.00,19.00,0.80
21-June-2011,599.95,603.90,586.00,591.25,590.670232386573220213,2711,233,1601307.00,17.90,-8.70
22-June-2011,593.50,593.50,583.00,584.75,586.340331778123379989,3858,255,2262101.00,10.50,-8.75
23-June-2011,590.00,594.80,578.45,583.75,584.616491487786824574,33775,525,19745422.00,16.35,-6.25
24-June-2011,587.00,587.00,581.10,582.00,583.942297604476307046,5719,253,3339566.00,5.90,-5.00
27-June-2011,562.00,590.00,562.00,583.45,584.852893368010403120,6152,255,3598015.00,28.00,21.45
28-June-2011,585.00,587.00,582.00,584.95,584.899108556194284762,12003,184,7020544.00,5.00,-0.05
29-June-2011,590.90,595.50,586.05,591.70,592.265596134716498507,7037,308,4167773.00,9.45,0.80
30-June-2011,593.00,603.75,590.00,593.85,596.851096530117633150,16917,741,10096930.00,13.75,0.85
1-July-2011,597.65,603.00,595.05,599.85,599.480282178790331907,8647,234,5183706.00,7.95,2.20
4-July-2011,602.00,609.95,597.50,598.75,603.109367023991832567,7836,341,4725965.00,12.45,-3.25
5-July-2011,600.00,605.00,594.00,595.45,597.726959161147902869,7248,218,4332325.00,11.00,-4.55
6-July-2011,595.00,608.00,595.00,600.10,600.800146702025616430,17723,685,10647981.00,13.00,5.10
7-July-2011,595.00,603.95,595.00,597.45,600.488723753564330769,34719,743,20848368.00,8.95,2.45
8-July-2011,599.00,617.00,599.00,607.30,610.002169215922386479,117093,1592,71426984.00,18.00,8.30
