Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
6-June-2011,662.00,673.65,658.15,671.20,668.634942715276570258,103518,2573,69215752.00,15.50,9.20
7-June-2011,666.00,674.40,662.70,670.60,669.941974006765362439,73019,2406,48918493.00,11.70,4.60
8-June-2011,665.55,670.15,658.55,659.65,662.909858620362463231,63234,1564,41918442.00,11.60,-5.90
9-June-2011,660.00,663.00,651.60,655.15,656.677886078480814544,115009,2546,75523867.00,11.40,-4.85
10-June-2011,658.00,659.00,646.00,650.95,650.944538611983642505,84365,2370,54916936.00,13.00,-7.05
13-June-2011,651.95,661.50,646.00,657.50,652.590388406414832969,75076,2087,48993876.00,15.50,5.55
14-June-2011,648.45,654.00,643.00,648.15,643.474435083385987981,17549891,8651,11292906197.00,11.00,-0.30
15-June-2011,652.00,658.50,645.30,647.00,652.270349828381788011,87986,2489,57390659.00,13.20,-5.00
16-June-2011,646.00,656.30,642.40,648.55,649.181368224299065420,66875,2458,43414004.00,13.90,2.55
17-June-2011,653.70,653.70,637.10,639.15,641.119353052466429790,86684,2951,55574790.00,16.60,-14.55
20-June-2011,639.00,641.00,626.10,630.95,632.819360443469987175,120865,3837,76485712.00,14.90,-8.05
21-June-2011,631.00,648.40,631.00,642.15,640.699523669144000868,128902,3568,82587450.00,17.40,11.15
22-June-2011,639.40,645.95,635.25,643.55,640.257666809748652644,83868,2180,53697130.00,10.70,4.15
23-June-2011,642.00,646.00,636.05,638.50,640.259749902305588120,51180,1688,32768494.00,9.95,-3.50
24-June-2011,642.00,669.40,641.20,666.95,658.705418611390899197,493429,4714,325024356.00,28.20,24.95
27-June-2011,661.00,682.60,661.00,674.20,676.430032537192802656,240033,4609,162365530.00,21.60,13.20
28-June-2011,680.00,690.70,674.80,688.90,684.472686824927553200,170815,4009,116918202.00,15.90,8.90
29-June-2011,691.00,699.30,691.00,695.70,696.082765116900279773,142258,3255,99023342.00,8.30,4.70
30-June-2011,697.00,707.00,695.00,703.85,701.890061335270986493,187168,4041,131371359.00,12.00,6.85
1-July-2011,703.85,712.45,700.00,701.75,705.450652810208175749,91221,2953,64351914.00,12.45,-2.10
4-July-2011,709.00,709.00,695.00,699.50,701.498616093175678667,90324,2200,63362161.00,14.00,-9.50
5-July-2011,703.00,703.00,690.25,700.25,696.938691702318702794,75732,2247,52780561.00,12.75,-2.75
6-July-2011,700.00,712.20,695.35,708.85,707.734093025318139493,112765,3149,79807635.00,16.85,8.85
7-July-2011,712.00,724.40,712.00,722.70,718.843096123050741294,169231,4796,121650536.00,12.40,10.70
8-July-2011,724.00,732.00,710.10,711.95,721.824052782767321092,286154,8331,206552840.00,21.90,-12.05
11-July-2011,710.30,713.90,702.50,707.50,706.819033183565203269,258622,3206,182798952.00,11.40,-2.80
12-July-2011,700.00,707.70,686.70,690.50,697.800671437200873565,86084,2687,60069473.00,21.00,-9.50
13-July-2011,692.90,698.00,685.15,695.50,690.772950146213038139,113191,3434,78189281.00,12.85,2.60
14-July-2011,692.00,710.00,687.20,702.55,700.849358974358974358,118248,3858,82874035.00,22.80,10.55
15-July-2011,707.00,708.70,691.10,693.45,696.743326766113143822,88825,2191,61888226.00,17.60,-13.55
18-July-2011,697.00,701.85,690.00,700.30,699.543737836522867337,394624,1581,276056748.00,11.85,3.30
19-July-2011,702.00,707.20,695.05,702.70,702.002216899398634186,117732,2460,82648125.00,12.15,0.70
20-July-2011,707.00,709.00,692.95,695.45,700.969979419318626367,58793,1662,41212128.00,16.05,-11.55
21-July-2011,694.05,701.00,692.00,696.65,697.055242627789993674,33199,1144,23141537.00,9.00,2.60
22-July-2011,705.90,712.10,699.55,706.05,707.529965084930538163,135758,3023,96052853.00,12.55,0.15
25-July-2011,706.00,708.90,696.10,707.00,703.555308369095632454,139346,2079,98037618.00,12.80,1.00
26-July-2011,708.00,713.85,687.30,694.10,694.955242000137435004,87314,2813,60679322.00,26.55,-13.90
27-July-2011,694.00,705.40,687.00,703.30,698.454187645739577299,134658,2801,94052444.00,18.40,9.30
28-July-2011,699.00,699.00,685.00,688.00,691.372585530562589999,40278,1614,27847105.00,14.00,-11.00
29-July-2011,688.00,692.45,676.15,688.50,685.582125026723173078,79519,2773,54516805.00,16.30,0.50
1-August-2011,697.95,706.50,691.10,695.20,700.551222133719758548,104203,2356,72999539.00,15.40,-2.75
2-August-2011,691.00,692.30,683.20,684.70,687.456338403548516057,52529,1694,36111394.00,9.10,-6.30
3-August-2011,680.00,684.25,676.60,679.80,680.065839687240111611,128661,2181,87497951.00,7.65,-0.20
4-August-2011,685.20,695.40,674.00,676.30,684.602733925062673622,59036,1565,40416207.00,21.40,-8.90
5-August-2011,664.00,673.85,660.00,666.60,666.877953313505092252,155334,3567,103588820.00,13.85,2.60
8-August-2011,658.00,667.05,644.25,647.55,652.584774979515483202,194049,4773,126633423.00,22.80,-10.45
9-August-2011,629.00,664.50,624.50,660.60,644.531589688741432749,183256,4544,118114281.00,40.00,31.60
10-August-2011,674.00,674.00,660.00,666.35,665.899516196777756459,192847,4450,128416724.00,14.00,-7.65
11-August-2011,666.00,686.85,663.55,681.95,680.033568962467489075,152641,4133,103801004.00,23.30,15.95
12-August-2011,690.00,690.00,663.25,670.00,674.135599646151901933,102869,3252,69347655.00,26.75,-20.00
16-August-2011,672.00,679.65,644.00,646.55,657.294173500215796288,92680,2767,60918024.00,35.65,-25.45
