Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
6-June-2011,2357.00,2380.00,2348.40,2375.50,2366.382940108892921960,36917,1697,87359759.00,31.60,18.50
7-June-2011,2372.00,2390.45,2363.00,2379.80,2376.265542012150853998,52342,1573,124378491.00,27.45,7.80
8-June-2011,2370.00,2371.00,2350.00,2355.20,2362.423367264711058418,107963,1907,255054314.00,21.00,-14.80
9-June-2011,2355.00,2371.00,2342.10,2360.80,2359.227449206528704436,26529,1498,62587945.00,28.90,5.80
10-June-2011,2366.50,2376.80,2330.80,2359.10,2354.830093592512598992,19446,1560,45792026.00,46.00,-7.40
13-June-2011,2358.00,2378.00,2345.00,2372.30,2367.257944460349269968,31437,1593,74419488.00,33.00,14.30
14-June-2011,2365.00,2399.00,2365.00,2381.75,2385.701455342902711323,20064,1220,47866714.00,34.00,16.75
15-June-2011,2383.00,2394.80,2363.20,2372.40,2381.029540618350231568,23967,1409,57066135.00,31.60,-10.60
16-June-2011,2364.00,2372.00,2337.25,2342.90,2354.578919571450128263,26508,1504,62415178.00,34.75,-21.10
17-June-2011,2355.00,2366.10,2333.05,2350.95,2348.245878625005013838,24931,1631,58544118.00,33.05,-4.05
20-June-2011,2359.00,2359.00,2270.00,2303.50,2304.325638079320310595,28719,1726,66177928.00,89.00,-55.50
21-June-2011,2306.00,2347.00,2305.05,2330.10,2331.014163004394726328,50060,1826,116690569.00,41.95,24.10
22-June-2011,2347.00,2347.00,2314.00,2322.70,2324.576800920598388952,21725,1114,50501431.00,33.00,-24.30
23-June-2011,2322.80,2339.70,2310.00,2332.35,2323.761168737804251822,19474,1182,45252925.00,29.70,9.55
24-June-2011,2340.00,2390.00,2340.00,2381.45,2370.277273769364294370,30533,1811,72371676.00,50.00,41.45
27-June-2011,2382.00,2430.00,2380.00,2416.30,2413.765523604009319635,63951,2485,154362719.00,50.00,34.30
28-June-2011,2417.00,2430.00,2405.90,2422.75,2420.549073332922849578,64964,1912,157248550.00,24.10,5.75
29-June-2011,2431.05,2496.70,2431.00,2486.90,2467.688643737832576249,77050,3436,190135410.00,65.70,55.85
30-June-2011,2487.00,2515.00,2451.55,2502.60,2497.074309502012333097,57893,3522,144563123.00,63.45,15.60
1-July-2011,2527.00,2538.00,2480.05,2496.90,2496.517879734579535772,77462,2343,193385268.00,57.95,-30.10
4-July-2011,2525.00,2539.80,2511.00,2532.30,2528.129768941429339065,52108,3318,131735786.00,28.80,7.30
5-July-2011,2520.00,2551.00,2514.00,2540.40,2531.896765816808309726,42360,2600,107251147.00,37.00,20.40
6-July-2011,2534.00,2557.00,2530.10,2545.05,2545.254224053429914771,60191,2594,153201397.00,26.90,11.05
7-July-2011,2545.05,2572.00,2535.20,2564.95,2561.062671286816821546,63490,3248,162601869.00,36.80,19.90
8-July-2011,2564.00,2582.50,2552.35,2558.20,2568.603620564808110065,34525,2484,88681040.00,30.15,-5.80
11-July-2011,2558.00,2565.50,2515.35,2523.35,2547.049841376982787715,74075,1871,188672717.00,50.15,-34.65
