Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
6-June-2011,134.05,139.50,134.05,138.95,138.028015820698747528,3034,42,418777.00,5.45,4.90
7-June-2011,139.00,140.00,136.65,137.15,137.834995466908431550,2206,52,304064.00,3.35,-1.85
8-June-2011,135.00,138.90,134.20,134.60,136.010159253157605711,3642,53,495349.00,4.70,-0.40
9-June-2011,137.50,137.50,132.00,133.90,133.770347794908569379,5578,80,746171.00,5.50,-3.60
10-June-2011,136.00,136.00,133.00,134.75,133.812463428905792861,3418,52,457371.00,3.00,-1.25
13-June-2011,136.40,137.75,133.00,135.35,135.214939582570487001,2731,56,369272.00,4.75,-1.05
14-June-2011,135.35,137.50,135.35,135.90,136.022801302931596091,921,12,125277.00,2.15,0.55
15-June-2011,137.95,137.95,133.00,135.00,135.758303886925795053,1415,41,192098.00,4.95,-2.95
16-June-2011,133.25,136.00,130.25,131.85,132.617934782608695652,3680,32,488034.00,5.75,-1.40
17-June-2011,132.00,135.25,125.20,130.40,128.442908370293479286,21194,220,2722219.00,10.05,-1.60
20-June-2011,126.60,131.80,125.00,128.70,127.141561231797565051,8378,142,1065192.00,6.80,2.10
21-June-2011,129.95,133.85,127.55,132.85,131.152723311546840958,4590,99,601991.00,6.30,2.90
22-June-2011,130.00,135.90,126.95,134.15,132.435572454583861427,2367,112,313475.00,8.95,4.15
23-June-2011,132.00,132.50,128.80,129.45,129.781853281853281853,3108,83,403362.00,3.70,-2.55
24-June-2011,128.70,133.95,128.70,133.80,132.390941597139451728,2517,32,333228.00,5.25,5.10
27-June-2011,132.00,138.00,129.00,131.40,131.108241758241758241,1820,33,238617.00,9.00,-0.60
28-June-2011,129.75,139.00,129.75,134.80,135.138732698961937716,9248,182,1249763.00,9.25,5.05
29-June-2011,135.00,136.00,133.55,134.10,134.883750000000000000,1600,31,215814.00,2.45,-0.90
30-June-2011,135.00,136.80,134.00,135.40,134.961340206185567010,776,12,104730.00,2.80,0.40
1-July-2011,136.90,139.85,135.50,138.05,137.761633919338159255,1934,35,266431.00,4.35,1.15
4-July-2011,139.00,139.90,136.05,136.65,137.103984450923226433,1029,44,141080.00,3.85,-2.35
5-July-2011,132.60,140.90,132.60,138.50,138.170341962288271013,3129,83,432335.00,8.30,5.90
6-July-2011,136.30,140.65,136.30,138.35,138.335486649440137812,2322,58,321215.00,4.35,2.05
7-July-2011,137.30,142.80,137.30,141.55,140.397005678884873515,3874,77,543898.00,5.50,4.25
8-July-2011,138.25,142.90,138.00,140.20,140.347978910369068541,2845,72,399290.00,4.90,1.95
11-July-2011,141.50,141.50,138.00,138.30,138.818181818181818181,242,11,33594.00,3.50,-3.20
12-July-2011,136.50,140.00,136.50,136.80,138.530158730158730158,1260,27,174548.00,3.50,0.30
13-July-2011,138.00,139.90,137.00,138.15,138.647657841140529531,491,10,68076.00,2.90,0.15
14-July-2011,136.20,140.00,135.05,140.00,137.922775382203057624,2551,46,351841.00,4.95,3.80
15-July-2011,139.00,139.90,138.15,138.25,138.546153846153846153,260,12,36022.00,1.75,-0.75
18-July-2011,139.00,140.70,137.15,137.25,138.149956024626209322,2274,25,314153.00,3.55,-1.75
19-July-2011,139.70,139.70,137.05,137.05,137.736177884615384615,1664,28,229193.00,2.65,-2.65
20-July-2011,138.10,139.00,136.00,136.35,137.272727272727272727,1111,30,152510.00,3.00,-1.75
21-July-2011,135.40,136.40,132.00,133.70,134.299582463465553235,2874,64,385977.00,4.40,-1.70
22-July-2011,136.95,136.95,132.85,133.65,133.669127516778523489,1490,31,199167.00,4.10,-3.30
25-July-2011,139.00,140.00,135.10,138.85,138.666978484565014031,4276,125,592940.00,4.90,-0.15
26-July-2011,138.85,139.50,135.10,136.00,137.598238688126328575,3293,60,453111.00,4.40,-2.85
27-July-2011,138.00,142.75,136.00,141.25,140.456398467432950191,6525,141,916478.00,6.75,3.25
28-July-2011,139.30,140.70,138.00,138.70,139.094437652811735941,3272,52,455117.00,2.70,-0.60
29-July-2011,140.95,142.85,138.15,140.75,140.495581848135390145,6677,128,938089.00,4.70,-0.20
1-August-2011,145.00,148.00,141.70,143.45,143.866737652551396510,12209,211,1756469.00,6.30,-1.55
2-August-2011,140.30,142.80,138.45,139.85,140.154503990877993158,1754,28,245831.00,4.35,-0.45
3-August-2011,137.00,138.55,136.15,137.90,137.276595744680851063,1598,150,219368.00,2.40,0.90
4-August-2011,137.25,137.50,134.25,135.70,135.863905325443786982,6422,103,872518.00,3.25,-1.55
5-August-2011,133.50,136.00,123.00,127.75,126.669961581559148391,24988,234,3165229.00,13.00,-5.75
8-August-2011,125.00,125.90,113.00,116.85,119.425925925925925925,22356,222,2669886.00,12.90,-8.15
9-August-2011,113.00,116.10,110.95,112.70,113.198720511795281887,10004,137,1132440.00,5.15,-0.30
10-August-2011,117.00,123.00,115.15,121.05,118.505768343331795108,4334,144,513604.00,7.85,4.05
11-August-2011,114.10,126.00,114.10,120.00,119.512715033657442034,2674,42,319577.00,11.90,5.90
