Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
6-June-2011,168.00,168.00,166.00,166.05,166.960474308300395256,253,17,42241.00,2.00,-1.95
7-June-2011,167.00,169.85,167.00,169.00,168.976923076923076923,390,42,65901.00,2.85,2.00
8-June-2011,170.00,171.00,165.90,169.00,169.907407407407407407,432,30,73400.00,5.10,-1.00
9-June-2011,170.00,171.00,166.00,168.35,167.500000000000000000,500,28,83750.00,5.00,-1.65
10-June-2011,168.00,170.00,166.00,169.40,169.034188034188034188,819,34,138439.00,4.00,1.40
13-June-2011,169.00,169.00,166.20,166.70,167.011061946902654867,452,38,75489.00,2.80,-2.30
14-June-2011,168.00,171.00,167.00,168.75,168.853383458646616541,532,29,89830.00,4.00,0.75
15-June-2011,170.00,171.00,167.00,168.95,169.660110149488591660,1271,49,215638.00,4.00,-1.05
16-June-2011,169.00,181.90,164.30,179.10,179.152235227753490339,42546,814,7622211.00,17.60,10.10
17-June-2011,178.50,178.50,173.30,176.45,176.018845792930872693,12788,65,2250929.00,5.20,-2.05
20-June-2011,177.50,177.50,168.60,170.00,170.811238406983087834,3666,39,626194.00,8.90,-7.50
21-June-2011,173.00,175.00,170.00,170.35,172.496498941540465722,12282,34,2118602.00,5.00,-2.65
22-June-2011,170.10,173.00,169.10,170.00,170.480833893745796906,1487,35,253505.00,3.90,-0.10
23-June-2011,170.00,171.85,168.50,169.50,169.300180831826401446,553,29,93623.00,3.35,-0.50
24-June-2011,170.00,173.00,168.35,170.35,170.132821075740944017,911,55,154991.00,4.65,0.35
27-June-2011,173.00,173.00,170.60,170.65,171.101265822784810126,948,17,162204.00,2.40,-2.35
28-June-2011,171.00,171.00,168.00,169.10,169.548165137614678899,436,23,73923.00,3.00,-1.90
29-June-2011,169.00,174.00,168.00,171.50,170.930394431554524361,431,40,73671.00,6.00,2.50
30-June-2011,172.00,176.90,170.20,174.55,174.287442099845599588,3886,92,677281.00,6.70,2.55
1-July-2011,178.00,178.00,171.05,171.75,172.130633200228180262,1753,46,301745.00,6.95,-6.25
4-July-2011,176.00,176.95,172.25,175.75,175.259469696969696969,528,29,92537.00,4.70,-0.25
5-July-2011,177.50,179.45,177.00,177.10,177.838842975206611570,726,38,129111.00,2.45,-0.40
6-July-2011,177.15,180.90,172.60,178.60,178.908760072783987522,3847,105,688262.00,8.30,1.45
7-July-2011,179.00,187.95,175.90,181.40,181.881368631368631368,4004,174,728253.00,12.05,2.40
8-July-2011,184.00,192.55,183.00,183.25,187.540369544898986267,13909,411,2608499.00,9.55,-0.75
11-July-2011,183.00,185.80,180.10,181.20,182.799899949974987493,1999,64,365417.00,5.70,-1.80
12-July-2011,184.80,184.90,175.10,176.10,178.498371335504885993,2763,73,493191.00,9.80,-8.70
13-July-2011,182.00,182.00,179.00,180.05,180.554135338345864661,2660,57,480274.00,3.00,-1.95
14-July-2011,177.55,185.00,173.05,178.50,182.523064133016627078,42100,1100,7684221.00,11.95,0.95
15-July-2011,178.00,179.80,176.00,177.00,178.199781659388646288,1832,51,326462.00,3.80,-1.00
18-July-2011,182.65,185.00,179.00,179.75,181.763997323221057327,4483,134,814848.00,6.00,-2.90
19-July-2011,180.00,184.50,178.00,179.45,181.443075615972812234,4708,140,854234.00,6.50,-0.55
20-July-2011,183.00,183.00,174.60,175.00,176.088255377261864117,5858,138,1031525.00,8.40,-8.00
21-July-2011,175.00,178.00,173.10,174.10,174.702795698924731182,2325,72,406184.00,4.90,-0.90
22-July-2011,182.00,203.45,182.00,191.45,195.529284199397502117,314026,7055,61401279.00,21.45,9.45
25-July-2011,190.80,191.00,183.05,186.85,185.671779533896754838,109332,700,20299867.00,7.95,-3.95
26-July-2011,187.00,189.00,180.10,181.85,185.428702268564182048,14194,290,2631975.00,8.90,-5.15
27-July-2011,183.70,192.00,180.25,187.40,187.728064434935816763,39730,824,7458436.00,11.75,3.70
28-July-2011,186.00,190.00,180.10,180.55,185.280938445513615396,20161,412,3735449.00,9.90,-5.45
29-July-2011,175.00,183.90,175.00,179.00,180.023503077783995523,3574,118,643404.00,8.90,4.00
1-August-2011,183.00,183.00,174.50,174.95,176.688654353562005277,4927,131,870545.00,8.50,-8.05
2-August-2011,173.00,174.95,172.00,173.35,172.956230690010298661,1942,77,335881.00,2.95,0.35
3-August-2011,172.75,172.75,166.25,168.40,167.788497919031403707,2643,87,443465.00,6.50,-4.35
4-August-2011,178.65,178.65,165.25,166.00,168.369318181818181818,1936,102,325963.00,13.40,-12.65
5-August-2011,165.00,167.00,155.00,158.60,160.502697302697302697,5005,233,803316.00,12.00,-6.40
8-August-2011,158.60,158.60,149.00,150.45,152.293659381086344946,4621,198,703749.00,9.60,-8.15
9-August-2011,149.00,153.95,143.50,150.00,150.946347031963470319,1752,107,264458.00,10.45,1.00
10-August-2011,150.50,170.00,150.50,160.65,164.389563164108618654,21175,692,3480949.00,19.50,10.15
11-August-2011,167.65,167.65,156.30,158.10,158.320394331484904497,1623,110,256954.00,11.35,-9.55
12-August-2011,159.00,159.95,156.00,156.25,156.941785252263906856,773,31,121316.00,3.95,-2.75
