Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open
6-June-2011,933.00,939.95,928.95,938.10,936.072679339775693023,340248,8681,318496857.00,11.00,5.10
7-June-2011,935.00,957.70,935.00,956.20,949.927709655074338613,435978,14189,414147583.00,22.70,21.20
8-June-2011,953.50,955.00,943.65,947.35,947.775891848800903474,240848,8896,228269928.00,11.35,-6.15
9-June-2011,946.50,957.80,946.50,954.10,953.465400549786990111,307028,10438,292740575.00,11.30,7.60
10-June-2011,955.00,957.00,932.00,944.00,942.675457076216988939,372148,11001,350814786.00,25.00,-11.00
13-June-2011,942.90,942.90,921.30,926.65,926.657306347356151319,405791,15087,376029195.00,21.60,-16.25
14-June-2011,928.80,931.35,912.05,913.55,917.770310025301185236,553729,18018,508196036.00,19.30,-15.25
15-June-2011,911.10,918.65,899.00,900.75,907.158269290653123510,1162506,29454,1054576931.00,19.65,-10.35
16-June-2011,900.00,900.00,885.10,888.00,891.131016974848178479,1035591,29718,922847261.00,14.90,-12.00
17-June-2011,894.00,894.00,865.25,868.40,875.992579912651588501,1148504,36466,1006080982.00,28.75,-25.60
20-June-2011,874.50,874.50,829.00,834.60,847.753187414291077078,1305290,39753,1106563758.00,45.50,-39.90
21-June-2011,839.85,854.60,838.05,848.50,848.041825071751565662,652599,21455,553431247.00,16.55,8.65
22-June-2011,854.90,858.00,834.10,846.10,843.090140811255296928,749727,18269,632087442.00,23.90,-8.80
23-June-2011,845.35,872.75,845.35,870.65,863.655771547668252530,909704,25735,785671110.00,27.40,25.30
24-June-2011,874.30,879.30,855.45,870.40,867.532391958246128717,996698,30222,864667800.00,23.85,-3.90
27-June-2011,865.00,880.00,862.00,871.50,873.290932299505366791,463778,14472,405013122.00,18.00,6.50
28-June-2011,877.80,877.90,862.25,870.55,868.575643248186337195,408979,12041,355229198.00,15.65,-7.25
29-June-2011,874.60,887.45,871.55,885.30,880.244587435718531152,386970,13172,340628248.00,15.90,10.70
30-June-2011,889.90,899.95,887.15,897.60,894.387819843686634175,416727,13642,372715553.00,12.80,7.70
1-July-2011,900.00,906.00,858.00,862.15,871.223063375682477207,918712,31498,800403083.00,48.00,-37.85
4-July-2011,873.95,879.00,864.50,868.15,869.857457774086784479,491286,12576,427348791.00,14.50,-5.80
5-July-2011,868.30,870.00,844.10,846.15,853.949899002922468626,837648,27264,715309425.00,25.90,-22.15
6-July-2011,848.15,858.60,841.00,852.65,851.044164496134254298,970576,27879,826003041.00,17.60,4.50
7-July-2011,858.90,875.00,855.00,870.35,864.553269023381486792,675064,19729,583628788.00,20.00,11.45
8-July-2011,871.20,874.00,852.10,854.40,859.788583278433251482,667880,14438,574235599.00,21.90,-16.80
11-July-2011,855.00,859.60,847.45,853.20,854.520059056144500945,364399,11309,311386255.00,12.15,-1.80
12-July-2011,847.80,857.25,845.15,848.50,850.768330442436637585,386270,11995,328626283.00,12.10,0.70
13-July-2011,853.70,867.65,851.10,864.55,860.306092667862279966,383067,13069,329554874.00,16.55,10.85
14-July-2011,863.10,878.00,859.05,866.90,868.099746448435138716,515477,15263,447485453.00,18.95,3.80
15-July-2011,866.90,875.50,864.50,873.30,871.278004609059145780,349746,9607,304725997.00,11.00,6.40
18-July-2011,872.90,874.70,865.05,867.10,869.863486294108738452,462210,7042,402059602.00,9.65,-5.80
19-July-2011,865.35,880.80,865.35,879.15,874.139841854897142677,412659,15682,360721673.00,15.45,13.80
20-July-2011,886.10,886.90,869.05,875.30,876.941346208142752272,354180,12976,310595086.00,17.85,-10.80
21-July-2011,876.00,876.35,857.65,860.75,866.058250027666088752,271090,8649,234779731.00,18.70,-15.25
22-July-2011,866.60,876.40,863.15,873.60,871.918614391731656382,423785,13315,369506030.00,13.25,7.00
25-July-2011,892.90,892.95,880.00,882.15,884.784797940311646444,995102,21097,880451122.00,12.95,-10.75
26-July-2011,888.50,889.90,868.80,871.15,877.330712894497959759,567335,17685,497740420.00,21.10,-17.35
27-July-2011,875.75,875.75,859.65,860.70,865.106550223615351397,331149,9673,286479169.00,16.10,-15.05
28-July-2011,855.00,855.00,833.60,837.35,840.359196494211420798,1007933,28632,847025766.00,21.40,-17.65
29-July-2011,839.05,847.65,824.00,827.70,835.313779033986004422,658065,21739,549690762.00,23.65,-11.35
1-August-2011,837.00,837.95,822.80,830.90,829.346522985871970460,458238,15663,380038092.00,15.15,-6.10
2-August-2011,829.80,845.00,818.15,835.10,829.144906986124667365,726397,21576,602288373.00,26.85,5.30
3-August-2011,827.95,836.00,823.50,825.15,828.634008713336567087,449426,13738,372409668.00,12.50,-2.80
4-August-2011,829.40,831.65,810.25,812.50,820.713836458507556375,484293,16203,397465966.00,21.40,-16.90
5-August-2011,799.95,799.95,778.55,791.65,789.463415591301334691,1197655,38350,945504807.00,21.40,-8.30
8-August-2011,775.00,796.80,767.05,780.60,780.528963661060503316,952642,28495,743564673.00,29.75,5.60
9-August-2011,759.95,778.70,754.10,765.40,765.060519190145907009,1182534,35661,904710076.00,24.60,5.45
10-August-2011,786.45,790.00,765.00,771.00,775.372070034724471317,710162,20043,550639780.00,25.00,-15.45
11-August-2011,766.10,784.70,766.10,773.40,776.473864103972608943,507903,15405,394373405.00,18.60,7.30
12-August-2011,781.60,781.60,758.00,760.80,766.902936039650696247,635550,20792,487405161.00,23.60,-20.80
16-August-2011,761.80,771.80,755.00,759.00,765.252909758968548200,363604,11635,278249019.00,16.80,-2.80
17-August-2011,761.90,774.25,751.00,754.80,761.193052708812057740,547897,16527,417055390.00,23.25,-7.10
18-August-2011,756.50,759.70,735.55,739.95,746.791990079386238195,656411,18524,490202477.00,24.15,-16.55
19-August-2011,731.00,739.00,721.60,731.20,729.218894394732505318,794913,22644,579665579.00,17.40,0.20
22-August-2011,731.20,759.00,725.60,756.25,742.220758782920530128,729484,22483,541438168.00,33.40,25.05
23-August-2011,761.00,771.75,747.85,765.55,761.662425922039956873,690995,16587,526304928.00,23.90,4.55
24-August-2011,765.00,769.85,756.50,760.95,762.556331993443729979,467949,12712,356837473.00,13.35,-4.05
25-August-2011,762.60,768.50,751.10,754.30,759.347971322145231705,499340,14090,379172816.00,17.40,-8.30
26-August-2011,752.90,755.70,713.55,719.50,736.508784263225670810,761020,19246,560497915.00,42.15,-33.40
29-August-2011,730.00,760.00,728.00,754.05,744.972741671264755577,699566,19943,521157601.00,32.00,24.05
30-August-2011,763.95,794.00,763.95,781.50,779.262489005509414227,883397,31441,688398145.00,30.05,17.55
2-September-2011,795.55,811.90,785.00,805.40,802.711356381138751346,809448,28141,649753102.00,26.90,9.85
5-September-2011,795.90,799.00,783.15,788.90,789.621309921578387194,566553,16646,447362322.00,15.85,-7.00
6-September-2011,784.90,825.50,777.25,820.85,803.481762537492962303,1106541,30608,889085513.00,48.25,35.95
7-September-2011,825.00,841.80,823.00,831.70,833.147872976274005353,769620,23827,641207266.00,18.80,6.70
8-September-2011,833.05,859.00,814.00,853.50,836.755248301426173743,1559838,42206,1305202633.00,45.00,20.45
9-September-2011,851.50,858.40,823.55,825.10,837.164108998421582767,969959,28764,812014862.00,34.85,-26.40
12-September-2011,812.60,822.80,796.10,805.85,808.563540865024395323,787446,24280,636700126.00,26.70,-6.75
13-September-2011,811.60,824.10,797.40,810.80,811.644573801668591740,915982,26080,743451820.00,26.70,-0.80
14-September-2011,814.45,828.70,804.50,825.30,816.788587144958908474,853704,24036,697295684.00,24.20,10.85
15-September-2011,832.50,838.00,813.55,835.15,827.092711990864917915,747886,22451,618571060.00,24.45,2.65
16-September-2011,847.35,849.30,822.05,827.45,834.704605299945607694,786876,21616,656809021.00,27.25,-19.90
19-September-2011,821.00,829.50,815.90,820.85,821.775082860200350762,538256,13714,442325369.00,13.60,-0.15
20-September-2011,821.25,853.80,816.10,851.50,838.682187828465535654,947588,24156,794725177.00,37.70,30.25
21-September-2011,849.20,850.95,832.65,838.10,838.854925935337289427,669010,17756,561202334.00,18.30,-11.10
22-September-2011,824.95,828.00,780.00,786.45,803.865009512745395157,1425456,39399,1145874201.00,48.00,-38.50
23-September-2011,773.25,792.00,765.00,770.75,777.688553330347431057,2031770,49414,1580084272.00,27.00,-2.50
26-September-2011,770.50,772.40,748.50,759.20,758.253530452863348886,1131158,27991,857704547.00,23.90,-11.30
27-September-2011,773.70,800.40,770.90,797.85,786.887625435415761239,924978,26044,727853742.00,29.50,24.15
28-September-2011,814.00,814.00,788.65,797.00,797.206580269289215810,990385,26269,789541439.00,25.35,-17.00
29-September-2011,792.00,812.05,784.50,808.10,797.718953988119383521,803662,22311,641096410.00,27.55,16.10
30-September-2011,801.10,822.80,792.60,808.30,809.493047418443621178,1572869,38126,1273226520.00,30.20,7.20
3-October-2011,794.40,800.00,784.50,788.20,791.483095180933581118,674778,19379,534075380.00,15.50,-6.20
4-October-2011,785.40,790.00,766.50,772.40,779.773783623959973916,1185427,27252,924364897.00,23.50,-13.00
5-October-2011,773.90,778.00,761.65,767.25,768.955763693559765413,1321132,28053,1015892066.00,16.35,-6.65
7-October-2011,786.00,804.70,786.00,801.45,794.731018852793239708,738193,19923,586664875.00,18.70,15.45
10-October-2011,803.25,829.80,803.25,827.90,820.741956669065401625,715655,21219,587368085.00,26.55,24.65
11-October-2011,836.00,841.05,820.10,825.85,833.543926344229724829,1174762,20207,979215730.00,20.95,-10.15
12-October-2011,829.00,851.45,825.00,849.50,839.263688997944685942,808149,24077,678250111.00,26.45,20.50
13-October-2011,850.00,857.00,842.00,846.85,849.743679232113009783,795117,23138,675645645.00,15.00,-3.15
14-October-2011,841.60,870.00,841.60,866.80,860.237551697977762731,980696,28567,843631526.00,28.40,25.20
17-October-2011,869.00,870.00,830.25,833.20,840.513582947928608092,1143603,31166,961213855.00,39.75,-35.80
18-October-2011,825.00,826.75,812.60,820.00,818.533653623394488816,625891,20743,512312847.00,14.15,-5.00
19-October-2011,824.90,844.60,824.50,842.30,835.558270699081629006,503718,14395,420885741.00,20.10,17.40
20-October-2011,833.50,841.05,822.15,838.40,829.792874458746216778,405078,12733,336130838.00,18.90,4.90
21-October-2011,839.00,848.90,831.55,835.40,841.060468050783264417,529387,15092,445246478.00,17.35,-3.60
24-October-2011,847.90,854.10,842.15,846.25,848.166381945811192022,381075,12482,323215004.00,11.95,-1.65
25-October-2011,853.00,879.30,842.30,875.00,861.952568937003372440,848347,23946,731234876.00,37.00,22.00
26-October-2011,877.00,880.95,871.20,873.35,874.638587388150579763,264418,8513,231270186.00,9.75,-3.65
28-October-2011,897.00,899.90,884.15,898.00,893.715735863349065346,744554,22620,665419626.00,15.75,1.00
31-October-2011,898.60,898.60,874.05,877.75,885.214895439894264474,382842,12502,338897441.00,24.55,-20.85
1-November-2011,869.00,878.45,857.50,860.55,866.147377000993621706,554537,15133,480310768.00,20.95,-8.45
2-November-2011,855.00,880.90,854.55,871.45,871.274893143626676034,683160,19156,595220156.00,26.35,16.45
3-November-2011,868.45,888.00,863.15,884.60,876.055130274451127199,679028,18244,594865963.00,24.85,16.15
4-November-2011,901.10,902.00,873.80,879.60,884.678025819278132745,611636,17226,541100929.00,28.20,-21.50
8-November-2011,880.00,884.50,868.55,881.85,878.456619240470354186,450384,11996,395642806.00,15.95,1.85
9-November-2011,890.10,892.50,860.90,864.55,878.088954295994352469,351304,10919,308476162.00,31.60,-25.55
11-November-2011,858.90,886.00,850.80,883.85,869.476205847788039119,793052,22691,689539844.00,35.20,24.95
14-November-2011,889.55,895.95,873.00,875.15,886.507110699152542372,604160,19464,535592136.00,22.95,-14.40
15-November-2011,871.00,878.00,858.20,862.70,868.494685574361596211,520282,14015,451862152.00,19.80,-8.30
16-November-2011,860.30,860.30,838.40,848.95,846.963398373031323109,580466,18988,491633456.00,21.90,-11.35
17-November-2011,845.00,848.70,807.25,810.65,825.036192426280639516,1260015,33337,1039557978.00,41.45,-34.35
18-November-2011,800.05,812.00,788.05,808.05,796.398130215702898817,1057983,26543,842575683.00,23.95,8.00
21-November-2011,800.90,800.90,782.10,786.85,789.682677851655958317,1142722,19954,902387769.00,18.80,-14.05
22-November-2011,786.60,804.30,786.60,795.05,796.389079757885143348,709911,20670,565365368.00,17.70,8.45
23-November-2011,789.00,789.00,755.30,773.75,771.846576519404442274,1024250,29442,790563856.00,33.70,-15.25
24-November-2011,775.00,778.00,755.00,774.20,764.378677556413960014,1113953,28926,851481921.00,23.00,-0.80
25-November-2011,768.90,771.00,751.15,754.00,761.153828156085204633,713764,22532,543284201.00,19.85,-14.90
28-November-2011,764.00,785.00,763.00,783.00,773.135557280692026172,676275,16103,522852249.00,22.00,19.00
29-November-2011,782.80,782.80,760.00,765.00,766.708235002316174190,822477,24173,630599889.00,22.80,-17.80
30-November-2011,756.60,784.00,753.75,778.80,768.864007664320110535,830863,23260,638820656.00,30.25,22.20
1-December-2011,798.55,810.00,795.15,798.50,802.235055327074692996,864405,24420,693455993.00,14.85,-0.05
2-December-2011,798.00,812.90,786.50,810.80,801.227013680017651635,688888,19647,551955675.00,26.40,12.80
5-December-2011,807.65,812.00,798.50,807.35,805.661740820265326517,451293,13735,363589504.00,13.50,-0.30
7-December-2011,807.35,819.00,803.65,809.20,812.453668712640911461,498540,15140,405040652.00,15.35,1.85
8-December-2011,802.90,807.30,773.00,779.20,785.829247807012898428,944146,24487,741937541.00,34.30,-23.70
9-December-2011,769.70,769.70,752.50,755.45,760.065103895953890756,1212078,30395,921258191.00,17.20,-14.25
12-December-2011,761.10,763.70,724.25,727.90,742.301248138261898884,1308589,32675,971367248.00,39.45,-33.20
13-December-2011,722.50,745.50,721.00,742.60,733.716756498002290715,1537511,30107,1128097584.00,24.50,20.10
14-December-2011,737.90,753.90,734.00,741.70,744.876606251001877933,1116653,31951,831768697.00,19.90,3.80
15-December-2011,732.30,752.95,723.85,748.70,740.738572366583898746,1324990,37861,981471201.00,29.10,16.40
16-December-2011,751.60,761.25,719.00,723.00,742.624695901883266943,1132447,34259,840983109.00,42.25,-28.60
19-December-2011,719.90,739.80,715.40,735.85,727.037733515154356671,1002451,27471,728819703.00,24.40,15.95
20-December-2011,740.00,741.25,709.15,713.55,724.660725037138336142,1322084,33849,958062350.00,32.10,-26.45
21-December-2011,729.00,754.00,722.50,747.25,735.529690583677210064,824908,23702,606744326.00,31.50,18.25
22-December-2011,742.05,759.80,733.65,754.75,743.922464226747385800,726800,22216,540682847.00,26.15,12.70
23-December-2011,759.00,769.40,742.55,746.45,757.296313540851317050,841919,26255,637582155.00,26.85,-12.55
26-December-2011,750.00,764.50,745.35,760.95,757.985766016444588676,622454,18009,471811272.00,19.15,10.95
27-December-2011,765.10,768.80,745.55,753.25,757.950657283061921075,634582,19071,480981844.00,23.25,-11.85
28-December-2011,751.40,759.00,735.05,738.55,743.478938081846238124,627958,18864,466873547.00,23.95,-12.85
29-December-2011,733.90,739.40,709.00,712.90,722.785511142538212835,899436,28605,650099309.00,30.40,-21.00
30-December-2011,713.00,721.00,690.00,692.90,703.807348402083178650,1602743,46326,1128022301.00,31.00,-20.10
2-January-2012,697.90,709.50,687.55,706.95,699.068395135246558713,1091525,32979,763050630.00,21.95,9.05
3-January-2012,712.00,725.90,710.60,723.70,719.171103097813223068,828068,24590,595522577.00,15.30,11.70
4-January-2012,727.90,730.90,713.50,716.00,721.543247768156781549,931181,25173,671887363.00,17.40,-11.90
