Date,Open,High,Low,Close,    Volume,SwingPoint
20110606,1074.90,1074.90,1036.50,1050.50,      2970,
20110607,1051.00,1061.95,1035.00,1040.95,       525,
20110608,1045.90,1051.90,1032.00,1038.90,        90,
20110609,1039.00,1040.00,1025.05,1039.90,       190,SPL
20110610,1049.90,1058.00,1041.05,1046.15,       410,
20110613,1075.00,1075.00,1025.60,1050.00,     30242,SPH
20110614,1040.05,1065.50,1040.00,1065.50,       155,
20110615,1065.00,1065.00,1046.00,1056.70,        99,
20110616,1060.00,1060.00,1040.25,1056.90,        96,
20110617,1057.00,1063.65,1045.00,1056.00,       225,
20110620,1067.00,1074.30,1045.00,1055.00,       346,
20110621,1055.00,1055.00,1040.00,1045.75,       247,
20110622,1071.30,1071.30,1030.00,1039.65,       198,
20110623,1050.00,1050.00,1030.00,1038.25,        76,
20110624,1049.00,1050.00,1030.30,1032.65,       386,
20110627,1001.70,1053.00,1001.70,1052.00,       358,SPL
20110628,1052.50,1059.50,1052.50,1055.05,       220,
20110629,1066.00,1070.00,1056.00,1067.95,       314,
20110630,1060.00,1144.05,1060.00,1130.60,      1893,
20110701,1129.95,1140.00,1095.90,1097.95,       384,
20110704,1124.95,1125.00,1077.00,1082.90,       395,
20110705,1121.00,1121.00,1080.35,1095.00,       157,
20110706,1107.95,1124.00,1090.00,1107.70,       282,
20110707,1070.25,1200.00,1070.25,1171.10,      4046,SPL
20110708,1186.95,1186.95,1140.05,1146.75,       309,
20110711,1150.00,1204.00,1135.00,1153.65,      5512,SPH
20110712,1153.00,1176.00,1141.00,1158.40,       850,
20110713,1158.00,1180.00,1158.00,1172.25,       741,
20110714,1179.90,1179.90,1150.00,1158.30,       307,
20110715,1133.05,1166.00,1133.00,1162.20,       310,
20110718,1162.00,1170.00,1143.00,1144.05,       263,
20110719,1144.00,1153.90,1144.00,1150.00,       334,
20110720,1159.00,1159.00,1146.40,1150.10,        81,
20110721,1150.00,1226.00,1140.40,1192.40,     11359,SPL
20110722,1200.00,1248.00,1199.95,1213.55,      6670,
20110725,1200.00,1224.75,1199.95,1203.75,      2637,
20110726,1215.00,1240.00,1195.00,1224.00,      4806,
20110727,1215.10,1240.00,1202.00,1209.80,      9219,
20110728,1220.00,1260.00,1211.15,1222.50,      3730,
20110729,1218.00,1373.75,1218.00,1263.20,     23653,SPH
20110801,1283.00,1305.00,1233.50,1251.35,     33631,
20110802,1259.00,1306.00,1235.00,1256.00,      2879,
20110803,1255.00,1255.00,1230.00,1234.50,       590,
20110804,1250.00,1260.00,1222.00,1226.70,       488,
20110805,1180.00,1217.95,1140.00,1179.55,      2493,
20110808,1132.05,1190.90,1120.00,1180.95,      1965,
20110809,1129.55,1168.00,1129.55,1154.75,       802,
20110810,1165.50,1210.00,1165.50,1194.40,       952,
20110811,1199.00,1210.00,1195.00,1198.75,       294,
20110812,1195.05,1220.00,1120.00,1132.10,     37348,SPH
