Date,Open,High,Low,Close,    Volume,SwingPoint
20110606,411.00,435.00,410.00,432.50,     58558,SPL
20110607,433.00,441.90,426.15,434.15,     88394,
20110608,434.00,436.10,427.25,430.15,     13763,
20110609,432.90,434.15,427.50,431.00,      7724,
20110610,428.15,436.65,428.15,435.40,      8389,
20110613,427.90,439.95,427.90,438.85,     14099,
20110614,440.00,445.00,416.00,430.15,     17744,SPH
20110615,432.80,436.80,426.00,427.30,      8487,
20110616,426.95,428.00,414.50,416.55,     10160,
20110617,421.85,427.85,415.55,419.00,     14160,
20110620,419.90,425.00,414.00,422.80,     12642,
20110621,422.00,423.90,420.00,421.05,     23708,
20110622,421.05,425.00,404.00,410.75,     10348,
20110623,407.05,410.95,401.25,405.50,      5439,SPL
20110624,409.10,417.85,406.30,410.95,      9225,
20110627,410.50,416.00,405.25,409.60,     15208,
20110628,414.90,415.00,408.20,412.85,    453234,
20110629,418.00,424.50,412.50,422.70,    122236,
20110630,424.00,442.00,424.00,430.25,     59411,
20110701,434.00,444.00,431.10,432.25,     27045,
20110704,432.50,439.00,430.00,431.60,     10217,
20110705,432.75,443.00,430.55,438.30,     42314,
20110706,438.35,452.60,438.35,444.80,     42531,
20110707,444.80,455.00,441.10,445.25,     51491,SPH
20110708,445.00,450.00,429.00,437.80,     38247,SPL
20110711,445.00,451.00,438.10,441.20,     10744,
20110712,440.15,443.90,430.45,438.85,     19297,
20110713,440.00,444.90,435.00,442.70,      8105,
20110714,442.00,442.00,438.50,440.10,      3236,
20110715,442.95,442.95,435.10,438.00,      2705,
20110718,438.00,443.00,436.25,437.25,      3663,
20110719,440.00,442.90,436.00,440.15,      5509,
20110720,440.00,441.00,435.00,439.35,      5125,
20110721,442.00,447.00,440.65,443.40,      5646,
20110722,448.95,457.00,444.05,453.35,     30963,
20110725,460.00,463.95,427.00,439.80,    122605,SPH
20110726,440.05,444.90,436.00,437.35,     10883,
20110727,435.00,437.90,428.40,432.05,     78147,
20110728,432.00,441.70,425.05,429.15,     43925,
20110729,430.05,438.70,428.05,435.70,     10148,
20110801,435.00,443.00,427.00,428.15,      6824,
20110802,434.85,434.85,424.00,427.60,      8611,
20110803,425.00,432.70,422.00,429.70,      5686,SPH
20110804,430.00,432.70,422.05,425.55,     11579,
20110805,422.05,423.00,409.00,419.80,     16618,
20110808,419.00,422.85,401.25,414.75,     27369,
20110809,404.00,413.90,398.00,401.40,     39096,SPL
20110810,415.05,421.45,407.00,412.00,     88778,
20110811,408.50,417.95,403.00,415.60,     21547,
20110812,415.00,428.85,415.00,417.10,     15544,
20110816,425.00,425.00,413.00,415.75,      3043,
20110817,415.00,422.00,410.15,415.35,     10011,
20110818,417.00,418.25,410.05,415.25,     10182,
20110819,410.00,424.40,404.70,422.65,     21712,SPL
20110822,425.60,438.00,420.15,435.80,     14911,SPH
20110823,438.00,438.00,425.75,427.70,     13864,
20110824,432.00,434.25,416.00,417.00,      8104,
20110825,420.00,425.90,409.00,416.65,      4739,
20110826,419.00,419.75,412.10,415.50,     53315,
20110829,417.20,423.80,414.00,418.60,      3929,
20110830,420.00,434.00,420.00,425.20,      4211,
20110902,420.05,429.60,410.10,420.55,      7710,SPL
20110905,419.40,434.00,416.10,424.45,     14630,SPH
20110906,424.50,429.50,421.00,422.05,      3267,
20110907,425.10,427.05,421.00,424.55,      6014,
20110908,424.00,427.95,416.10,422.30,      8073,
20110909,422.00,431.70,421.00,428.50,     35013,
20110912,425.85,434.00,419.95,424.95,     36724,
20110913,426.10,432.00,424.10,428.45,     13922,
20110914,430.00,431.50,418.00,423.30,     12498,
20110915,428.00,430.90,421.20,423.90,     22602,
20110916,428.75,433.00,418.25,425.85,     60423,SPH
20110919,430.00,432.55,420.30,425.50,     11064,
20110920,426.00,428.00,423.00,424.00,      2642,
20110921,424.50,426.00,420.05,422.70,      4360,
20110922,425.00,426.90,417.00,419.65,      4430,
20110923,416.10,422.00,410.55,415.50,      5776,
20110926,420.00,420.00,399.50,402.65,     27811,
20110927,405.00,408.40,400.00,400.65,     14578,
20110928,404.00,412.05,400.00,402.00,     21331,SPH
20110929,403.85,404.00,399.00,400.70,      6696,
20110930,402.00,411.55,399.00,400.70,   1256399,
20111003,400.00,400.90,395.00,397.40,      3371,
20111004,400.00,402.00,395.00,397.80,      4925,
20111005,401.50,403.50,399.20,401.25,      7790,
20111007,408.00,408.00,393.15,396.10,      7994,
20111010,396.25,397.00,387.60,389.50,      5939,
20111011,396.00,403.00,394.75,398.70,     10377,
20111012,399.95,402.85,398.00,400.05,     41917,
20111013,401.00,401.00,389.50,399.70,      8223,
20111014,398.00,400.00,395.00,399.45,      2109,
20111017,400.00,400.05,390.00,390.85,     11177,
20111018,387.00,399.10,387.00,395.90,      6100,SPL
20111019,402.00,414.00,400.10,411.25,     23872,
