Date,Open,High,Low,Close,    Volume,SwingPoint
20110606,173.95,173.95,168.50,168.80,      5009,
20110607,172.00,172.00,167.00,169.20,     12651,
20110608,170.80,171.55,168.85,170.25,     16389,
20110609,170.00,170.75,169.15,170.10,      2241,
20110610,171.40,172.25,166.75,167.70,      4026,
20110613,168.90,175.70,168.50,174.25,     14732,
20110614,175.00,176.00,169.35,170.20,      9970,SPH
20110615,170.20,174.00,168.00,169.95,      5233,
20110616,167.05,169.95,166.50,167.60,      5466,
20110617,168.00,169.45,166.50,166.60,      8883,
20110620,167.05,167.85,151.00,157.95,     18996,
20110621,157.95,158.00,149.00,149.40,     20581,
20110622,155.00,155.00,147.00,147.85,      4587,
20110623,147.00,148.80,133.20,140.25,     21138,SPL
20110624,143.00,147.00,138.20,146.30,      6304,
20110627,145.00,151.00,145.00,148.35,      6518,
20110628,150.00,152.40,144.00,147.00,     11707,SPH
20110629,150.00,151.00,140.35,142.10,     14685,
20110630,144.50,144.50,142.60,143.85,      4948,
20110701,144.05,149.80,144.05,146.70,      5837,
20110704,146.05,148.85,145.00,146.30,      3138,
20110705,147.95,148.00,145.00,146.15,      2420,
20110706,147.10,147.10,142.00,144.95,    145382,
20110707,147.00,148.45,145.20,147.15,      6444,
20110708,150.00,151.00,143.00,143.70,     58141,
20110711,145.00,146.70,139.00,141.25,      9900,
20110712,142.00,142.00,135.00,140.10,      4725,SPL
20110713,143.95,144.00,140.30,143.45,      4597,
20110714,143.00,152.50,140.00,149.10,    148711,
20110715,154.00,154.40,147.35,148.50,     17152,
20110718,148.55,148.55,142.35,144.90,     18754,
20110719,146.95,157.40,146.95,154.70,    139371,
20110720,155.50,158.45,154.95,155.40,     44082,
20110721,157.90,164.25,154.40,162.00,    103567,
20110722,163.90,171.45,163.25,169.05,     38056,
20110725,170.00,172.50,165.65,166.70,    166743,SPH
20110726,167.50,167.50,160.00,161.75,    149459,
20110727,161.50,161.50,157.25,158.50,      6806,
20110728,158.00,158.00,154.10,154.95,      4871,
20110729,157.95,157.95,152.00,153.35,      3463,
20110801,149.00,158.60,149.00,155.10,     18052,
20110802,150.00,155.00,149.10,152.05,      5066,
20110803,151.10,151.65,146.30,148.20,      5398,SPH
20110804,149.00,149.70,143.50,144.25,      6045,
20110805,138.15,143.90,138.05,140.10,     10068,
20110808,135.00,137.95,126.50,134.90,      9747,SPL
20110809,132.00,133.00,129.00,129.30,      9272,
20110810,135.00,139.00,133.55,136.95,      6088,
20110811,136.00,138.75,135.70,137.30,      3051,
20110812,140.75,143.00,137.50,139.95,      7839,SPH
20110816,141.40,142.10,134.45,135.30,      5578,
20110817,135.30,138.50,130.05,130.95,      4617,
20110818,136.70,136.70,120.15,121.75,     21461,
20110819,122.95,122.95,113.00,120.80,     11763,SPL
20110822,123.00,125.00,114.75,120.50,      8075,
20110823,120.50,125.80,118.10,124.00,     11410,
20110824,130.00,130.00,123.00,123.05,      5778,
20110825,130.00,130.00,118.00,124.10,     10761,
20110826,124.00,124.90,116.10,117.40,      3846,
20110829,122.05,124.50,122.05,123.30,      4904,
20110830,127.35,131.00,124.30,129.85,      5134,SPL
20110902,132.80,132.80,126.20,127.80,      2395,
20110905,127.00,131.05,126.00,129.65,      3600,
20110906,130.95,130.95,128.00,129.85,      2145,
20110907,131.70,131.80,129.00,129.60,      5410,
20110908,131.85,135.95,131.80,133.35,      1886,SPH
20110909,135.90,135.90,128.50,130.60,      2749,
20110912,127.00,131.45,126.05,126.20,       674,
20110913,130.00,130.00,126.00,127.10,      2168,
20110914,131.30,131.30,125.95,127.85,      2800,
20110915,128.05,131.20,125.25,128.30,      6802,
20110916,129.15,131.00,128.00,129.10,      2061,
20110919,130.50,132.00,126.00,126.25,      2562,SPH
20110920,125.25,129.50,125.25,126.55,      3175,
20110921,127.00,131.95,126.00,130.70,      2706,
20110922,130.00,131.90,126.05,126.70,      1411,
20110923,125.00,125.00,119.70,120.70,      7462,
20110926,120.75,120.95,115.05,116.50,      4236,
20110927,119.75,123.50,117.25,121.10,      3795,
20110928,122.00,122.95,117.05,118.55,      1840,SPH
20110929,119.00,120.00,118.00,119.25,      1270,
20110930,120.00,120.00,116.00,117.05,      1713,
20111003,115.05,118.50,114.10,115.60,      1233,
20111004,116.00,117.10,113.00,113.80,      2707,
20111005,115.00,115.00,110.35,110.95,      4781,SPL
20111007,114.75,119.50,114.00,118.40,     33203,
20111010,120.00,121.95,117.65,120.15,      6862,
20111011,124.00,126.00,120.00,123.30,      8168,
20111012,124.00,124.80,122.25,124.10,      3818,
20111013,126.85,127.50,123.50,126.30,      2526,
20111014,127.35,130.90,123.90,128.00,      5527,SPH
20111017,128.00,130.20,126.10,127.55,      1523,
20111018,127.00,127.00,126.00,126.75,       244,
20111019,124.05,130.50,123.85,126.25,      2206,
20111020,124.00,127.00,123.00,124.40,       766,
20111021,122.20,127.55,120.05,121.65,     17061,
20111024,124.40,124.40,118.55,119.30,      3151,
20111025,118.95,119.00,115.00,117.90,      3564,SPL
20111026,121.00,121.00,119.00,119.70,      1245,
20111028,119.90,122.00,118.55,120.10,      3497,
20111031,122.00,124.90,118.35,123.00,    171724,
20111101,123.10,124.00,119.55,121.25,      6217,
