Date,Open,High,Low,Close,    Volume,SwingPoint
20110606,598.00,602.45,587.15,596.60,       409,
20110607,597.10,597.10,582.50,584.80,      1159,
20110608,587.00,595.85,583.05,589.00,      2116,
20110609,595.00,613.00,593.10,603.65,      5386,
20110610,609.95,615.00,582.35,588.05,      5918,
20110613,590.05,670.00,584.50,636.80,    158064,SPH
20110614,640.00,652.95,629.05,639.20,     30212,
20110615,635.25,635.25,610.00,612.25,     13081,
20110616,610.00,623.50,608.05,613.25,      4038,
20110617,610.10,619.40,596.40,601.15,      5165,
20110620,597.50,600.00,571.15,576.35,      7543,SPL
20110621,580.00,593.00,576.50,587.35,      2105,
20110622,590.00,594.80,581.00,582.00,      3302,
20110623,582.00,582.00,572.00,574.10,      2150,
20110624,575.85,592.00,575.85,588.00,      5456,
20110627,582.00,595.70,578.30,579.65,      4263,
20110628,583.00,625.00,576.00,599.85,     27982,
20110629,607.00,619.45,596.60,599.15,      8477,SPL
20110630,604.00,613.50,596.60,600.10,      5650,
20110701,604.95,625.00,604.50,622.70,     14962,
20110704,622.10,624.80,616.60,621.35,      3044,
20110705,620.00,648.00,620.00,634.10,     15806,
20110706,638.00,659.00,638.00,651.15,     21211,
20110707,648.85,677.95,648.85,663.10,     26151,
20110708,666.00,668.00,645.00,649.20,      3742,
20110711,649.10,655.35,642.00,648.90,      3003,SPL
20110712,649.00,705.70,645.05,669.05,    114275,SPH
20110713,676.45,696.00,670.25,675.00,     45020,
20110714,672.60,688.80,663.25,672.55,     14350,
20110715,678.60,688.00,669.55,680.00,     15792,
20110718,685.05,693.85,672.55,676.80,     40773,
20110719,678.00,688.00,668.35,670.00,     10441,
20110720,674.50,674.50,658.30,663.25,      5486,
20110721,660.70,669.85,659.00,661.05,      2731,
20110722,662.25,667.90,659.25,663.20,      2168,
20110725,679.00,679.00,655.05,662.65,      2368,SPH
20110726,665.00,679.00,662.00,669.25,      3631,
20110727,575.55,677.00,550.00,670.80,      4332,SPL
20110728,661.70,679.00,660.05,665.85,      3036,
20110729,671.65,671.65,660.00,661.70,      2154,
20110801,674.25,674.25,645.10,648.25,      5641,
20110802,649.00,649.00,632.00,634.10,      5290,
20110803,636.50,636.70,611.00,624.80,      6122,
20110804,634.75,637.00,619.00,622.70,      4413,SPH
20110805,611.80,616.95,597.50,604.35,     12511,
20110808,605.00,605.00,591.00,596.65,      6756,
20110809,591.20,599.90,573.05,581.25,      6523,SPL
20110810,592.50,600.00,587.25,591.90,      5247,
20110811,595.00,595.90,583.65,590.65,      1823,
20110812,601.00,601.00,588.15,592.35,      3323,
20110816,597.00,605.90,594.00,602.45,      3154,SPH
20110817,604.85,604.90,594.00,597.50,      2885,
20110818,595.05,597.00,589.00,593.85,      3843,
20110819,585.30,589.50,578.00,583.95,      2506,
20110822,579.00,592.50,579.00,586.60,      1055,
20110823,588.00,594.90,577.00,593.95,       999,
20110824,592.15,597.75,583.10,587.55,       832,
20110825,590.00,590.00,580.00,582.70,      1187,
20110826,583.25,588.00,576.30,587.00,      1783,SPL
20110829,587.90,597.85,580.00,595.60,      1609,
20110830,604.20,604.20,591.50,594.70,      1109,
20110902,608.20,608.20,594.05,594.70,      2455,
20110905,594.60,604.00,594.60,600.85,      2263,
20110906,600.00,603.95,595.00,598.45,       429,
20110907,603.50,615.00,601.00,609.55,      2208,
20110908,612.00,612.00,602.05,603.45,       429,
20110909,606.65,616.85,593.55,596.70,      1360,
20110912,595.00,598.65,585.65,588.10,      1749,SPL
20110913,597.95,599.15,588.00,595.35,      1731,
20110914,598.00,601.85,586.60,589.45,      1740,
20110915,592.00,594.45,590.00,590.95,      1231,
20110916,588.05,604.95,588.00,601.10,      1620,
20110919,605.00,642.40,594.00,614.15,     25107,
20110920,618.00,632.00,608.00,628.00,     15690,
20110921,637.50,717.00,622.00,624.00,      4053,SPH
20110922,620.00,631.45,618.10,622.00,     10088,
20110923,614.00,617.25,602.00,610.15,      3826,
20110926,615.00,615.00,594.05,605.95,      2014,
20110927,608.25,613.75,605.00,606.25,      6475,
20110928,605.70,607.85,593.40,594.75,      1609,
20110929,595.00,605.00,591.10,602.55,      3190,
20110930,600.00,611.00,600.00,603.00,      4582,
20111003,601.85,610.00,597.05,607.75,      3596,
20111004,607.00,609.00,595.00,597.25,      1577,
20111005,605.00,605.00,590.00,593.60,      1905,SPL
20111007,606.00,606.00,597.25,603.10,      2420,
20111010,606.95,617.00,600.00,613.65,      2711,
20111011,615.95,619.00,612.00,615.25,      1806,
20111012,617.00,619.95,610.00,612.85,       958,
20111013,619.00,619.00,609.00,611.35,       915,
20111014,616.95,617.00,607.15,607.90,      1406,
20111017,612.00,618.85,605.00,613.80,      4374,
20111018,601.20,620.00,601.20,611.05,      1211,
20111019,617.95,618.00,612.05,615.15,       943,
20111020,603.10,616.90,603.05,613.65,       964,
20111021,615.00,617.00,607.05,611.45,      1341,
20111024,606.00,628.95,606.00,615.55,      2450,SPH
20111025,619.90,619.90,610.00,612.15,      1225,
20111026,605.00,605.00,582.30,590.35,      3193,SPL
20111028,597.00,598.10,587.45,592.40,      3877,
20111031,583.15,600.00,583.15,600.00,      1644,
20111101,595.00,600.00,590.25,598.55,      3453,
20111102,599.00,609.00,593.00,596.40,      1942,
20111103,600.00,605.95,592.20,600.00,      1952,
20111104,605.70,614.00,600.05,603.30,      2920,
20111108,600.00,625.00,600.00,617.20,      4827,SPH
20111109,617.00,621.00,600.05,602.15,      4296,
20111111,610.00,610.00,595.00,595.55,      1737,
20111114,601.00,601.00,583.00,584.90,      2023,
20111115,592.00,592.00,572.15,577.30,      1776,
20111116,569.25,590.00,569.25,575.10,      1224,
20111117,575.15,584.95,570.05,575.60,      1106,
20111118,576.00,593.95,560.00,578.50,      3380,SPH
20111121,580.00,580.00,572.00,573.75,       860,
20111122,586.00,586.00,555.15,562.00,      1548,
20111123,568.00,568.85,540.60,544.05,      2367,
20111124,566.90,566.90,534.40,540.70,      1810,
20111125,540.00,545.60,536.20,538.10,      1460,
20111128,548.00,555.00,540.00,550.20,      1272,
20111129,545.00,560.00,526.10,553.55,      1209,SPH
20111130,554.00,556.00,530.10,534.10,      1707,
20111201,549.50,549.50,536.00,536.45,      2437,
20111202,536.00,547.00,535.00,543.65,      1072,
20111205,547.80,548.00,540.00,541.05,       548,
20111207,541.00,547.00,540.05,541.45,       725,
20111208,548.00,548.00,535.05,540.25,       980,
20111209,545.00,545.00,528.30,529.45,      2855,SPH
20111212,545.00,545.00,506.50,513.30,      2627,
20111213,503.30,513.00,485.05,499.10,      3597,
20111214,515.00,515.00,495.35,499.55,      1559,
20111215,509.90,510.00,475.00,479.55,      4291,
20111216,484.95,495.90,479.00,481.80,      2611,
20111219,493.00,493.00,460.00,462.95,      2661,
20111220,485.00,485.00,447.30,450.10,      3090,SPH
20111221,452.00,457.25,436.90,439.55,      4192,
20111222,445.85,445.85,427.05,430.55,      2725,SPL
