Date,Open,High,Low,Close,    Volume,SwingPoint
20110606,2187.90,2200.00,2093.00,2104.20,       731,SPH
20110607,2126.00,2147.95,2108.30,2129.90,       271,
20110608,2103.00,2132.00,2100.00,2124.50,       986,
20110609,2122.00,2148.00,2101.30,2118.70,       876,
20110610,2119.00,2121.20,2092.00,2112.20,       748,
20110613,2095.05,2150.00,2095.05,2099.70,      1286,
20110614,2190.00,2190.00,2101.00,2105.75,      1526,SPH
20110615,2106.00,2149.90,2090.00,2136.70,       818,
20110616,2116.75,2140.00,2106.20,2135.25,       715,
20110617,2148.00,2148.65,2102.20,2133.65,       648,
20110620,2121.00,2131.00,2030.05,2080.55,       861,SPL
20110621,2115.00,2115.00,2080.10,2090.15,      1828,
20110622,2081.00,2099.95,2053.05,2088.40,      1510,
20110623,2088.40,2090.00,2041.00,2044.50,       565,
20110624,2064.90,2094.70,2052.15,2059.60,      1966,
20110627,2060.00,2094.00,2050.00,2068.90,      1262,
20110628,2098.90,2099.60,2070.05,2091.75,       716,
20110629,2092.00,2119.80,2082.00,2105.60,      1206,
20110630,2111.00,2115.95,2075.00,2090.45,      1176,
20110701,2090.50,2094.95,2069.00,2085.75,      2365,SPL
20110704,2110.00,2210.00,2078.20,2168.85,      3231,
20110705,2130.00,2180.00,2119.00,2129.75,       757,
20110706,2125.00,2201.95,2120.00,2165.40,      1869,
20110707,2160.00,2225.00,2142.05,2195.90,      1750,
20110708,2170.00,2225.00,2143.00,2157.70,      2182,
20110711,2157.70,2157.70,2111.00,2125.95,       763,
20110712,2141.90,2145.00,2090.00,2114.60,      1168,SPL
20110713,2150.00,2220.00,2130.00,2205.75,     12467,
20110714,2190.00,2243.95,2170.00,2178.05,      2084,
20110715,2258.95,2259.95,2178.05,2205.85,      1079,
20110718,2220.00,2221.00,2161.05,2172.75,       655,
20110719,2240.00,2251.00,2180.05,2241.55,      7600,
20110720,2225.00,2299.00,2225.00,2231.90,      2484,SPH
20110721,2249.90,2250.00,2230.00,2230.65,      1403,
20110722,2242.00,2255.60,2230.00,2232.10,      1827,
20110725,2232.10,2263.95,2232.10,2245.35,      1006,
20110726,2255.00,2265.95,2221.00,2233.95,      1625,
20110727,2220.00,2260.65,2211.05,2219.90,       663,
20110728,2224.90,2235.00,2190.00,2198.95,       493,
20110729,2177.00,2205.80,2156.00,2170.60,       882,
20110801,2235.80,2235.80,2000.00,2074.65,     15990,SPH
20110802,2074.00,2100.00,2054.75,2077.25,      1219,
20110803,2060.00,2085.00,2052.25,2076.55,       422,
