Date,Open,High,Low,Close,    Volume,SwingPoint
20110606,162.00,164.90,156.20,157.80,      6225,
20110607,163.00,163.00,155.00,155.45,      5556,
20110608,157.90,160.00,154.50,158.85,      7680,SPL
20110609,159.00,161.80,156.75,160.20,     15632,
20110610,161.10,167.00,160.35,161.90,    220520,SPH
20110613,162.00,163.00,158.00,159.15,      1547,
20110614,160.90,164.95,159.60,162.85,    502767,
20110615,163.00,163.90,158.55,159.20,    156776,
20110616,163.20,163.20,155.00,160.85,     34664,
20110617,164.00,164.00,159.00,162.35,     20632,
20110620,165.00,165.00,160.00,160.80,      5711,
20110621,162.50,162.95,159.00,160.50,      7773,
20110622,160.50,163.00,158.50,161.95,      7665,
20110623,158.50,161.35,155.00,159.65,      1449,SPL
20110624,160.10,163.40,158.00,160.45,     10877,
20110627,160.50,165.95,159.80,165.40,      7886,
20110628,169.50,175.00,162.00,168.45,     11395,SPH
20110629,169.00,172.95,165.05,169.80,     26608,
20110630,167.05,171.45,167.00,170.00,      1146,
20110701,169.90,170.95,167.05,168.50,      2179,
20110704,171.00,171.00,166.05,167.00,      1956,
20110705,167.00,168.00,164.15,166.60,      1792,
20110706,168.95,168.95,163.10,165.45,    407193,
20110707,167.00,172.95,163.00,165.00,      4900,SPH
20110708,166.00,166.90,159.00,160.00,      1622,
20110711,160.05,162.50,158.05,159.90,       607,
20110712,158.05,159.95,154.00,154.95,      2925,SPL
20110713,159.95,159.95,156.65,158.65,       915,
20110714,157.05,164.90,157.05,162.45,      2057,
20110715,169.95,169.95,158.05,160.40,      2579,
20110718,163.00,168.90,161.55,166.00,     26434,
20110719,166.75,167.95,164.85,167.05,      2666,
20110720,165.05,168.95,165.05,167.25,      1944,SPH
20110721,168.50,168.50,162.00,162.70,      2352,
20110722,161.05,165.95,161.00,164.50,      4806,
20110725,161.05,163.70,158.50,160.95,      4354,
20110726,158.00,164.00,158.00,163.25,      4141,
20110727,165.00,165.00,158.50,160.75,       996,
20110728,160.00,160.00,155.50,156.65,      3305,
20110729,159.95,169.15,158.05,159.20,   1843061,SPH
20110801,163.30,163.50,160.00,160.50,    330638,
20110802,158.25,160.00,157.50,158.55,       619,
20110803,157.00,159.00,155.00,158.35,      1324,
20110804,159.95,161.70,156.40,156.95,       694,
20110805,154.00,158.00,152.35,154.75,      1848,
20110808,155.00,157.00,149.75,153.00,      3164,
20110809,148.75,154.05,148.75,151.90,      2202,
20110810,154.00,158.95,148.15,154.00,    152733,SPH
20110811,153.00,156.25,151.00,152.35,       828,
20110812,154.00,154.90,152.50,152.80,      3153,
20110816,156.20,156.20,152.00,152.05,       338,
20110817,152.00,155.00,149.50,151.90,       445,
20110818,146.80,151.95,146.75,149.45,      1881,
20110819,150.75,150.75,146.70,147.90,        46,
20110822,151.00,151.00,145.00,149.50,      2754,
20110823,146.25,149.00,146.20,146.20,       237,
20110824,149.00,149.00,144.35,145.10,      1039,
20110825,149.00,152.85,145.00,145.90,      3560,
20110826,147.00,147.50,144.65,145.10,      2164,
20110829,148.95,149.50,144.15,147.50,       370,
20110830,155.90,155.90,146.05,149.15,       855,SPH
20110902,154.95,154.95,147.05,148.90,      1012,
20110905,151.15,152.90,146.00,151.35,       629,
20110906,145.75,149.85,145.75,147.35,       522,
20110907,149.75,149.75,149.00,149.45,        24,
20110908,147.20,147.20,142.55,143.05,      6510,
20110909,144.80,144.80,141.50,142.45,      5573,
20110912,144.95,144.95,141.00,142.65,       423,
20110913,142.10,144.25,141.75,142.65,       345,
20110914,143.80,143.80,141.70,142.65,       214,
20110915,141.00,141.00,134.90,137.15,     16088,
20110916,137.20,143.00,133.70,141.05,      3186,SPL
20110919,142.00,145.65,140.05,142.10,     14096,
20110920,142.00,143.00,141.05,142.95,       836,
20110921,144.00,144.90,142.20,143.75,      2455,
20110922,143.90,144.80,138.55,142.70,     19296,
20110923,143.15,144.25,140.00,140.65,   1003882,
20110926,140.95,143.50,138.00,139.15,    162552,
20110927,145.95,145.95,136.05,138.80,      1921,SPL
20110928,142.95,142.95,139.40,139.40,       320,
20110929,139.00,156.50,138.00,147.65,      2167,SPH
20110930,152.00,152.00,142.25,148.45,    239639,
20111003,149.30,151.25,140.10,141.10,      6695,
20111004,140.05,143.50,140.05,143.15,      2304,
20111005,139.15,147.00,139.15,145.00,      9994,
20111007,148.00,148.95,140.75,141.15,       717,
20111010,144.00,144.95,138.00,138.40,      2237,SPL
20111011,143.70,143.85,139.55,143.55,      2892,
20111012,143.00,144.80,141.50,143.85,       538,
20111013,144.45,148.00,142.45,145.65,      1105,SPH
20111014,145.00,148.00,143.25,145.75,      2508,
20111017,148.00,148.00,142.00,142.10,       536,
20111018,141.00,141.00,138.05,139.00,      1107,
20111019,141.00,142.90,139.10,140.00,       450,
20111020,140.95,141.50,139.05,140.75,       601,
20111021,143.00,143.50,138.00,139.00,     15493,
20111024,141.00,141.95,140.35,141.05,      5560,
20111025,140.20,142.25,135.05,138.65,      6595,SPL
20111026,138.00,144.70,138.00,141.40,        78,
20111028,143.00,145.00,140.05,143.55,      1767,
20111031,145.00,145.00,141.00,142.85,       624,
20111101,143.00,143.00,141.05,141.50,       577,
20111102,142.95,143.00,141.00,141.35,       567,
20111103,141.10,145.95,141.00,141.75,      5701,SPH
20111104,142.85,142.85,138.10,139.60,      1771,
20111108,141.65,141.65,138.00,138.20,      1802,
20111109,138.80,138.80,135.00,135.15,      3471,
20111111,137.00,137.00,133.50,133.65,       996,
20111114,135.50,136.90,131.15,131.70,       686,
20111115,130.20,132.00,127.70,130.00,       949,
20111116,131.75,131.75,125.20,126.80,      1651,SPH
20111117,127.00,129.80,123.00,124.60,       395,
20111118,123.00,126.00,122.00,125.40,       605,
20111121,122.55,125.95,120.00,120.10,       679,
20111122,120.05,124.00,116.05,121.70,       521,
20111123,120.95,120.95,117.00,117.70,    105457,
20111124,117.05,119.65,115.00,116.65,      1277,SPL
20111125,117.00,119.00,115.05,116.20,       800,
20111128,118.00,123.00,117.00,120.25,       527,
20111129,121.00,121.85,117.05,121.60,       436,
20111130,118.00,121.95,117.00,121.65,      5004,
20111201,121.05,123.35,121.00,121.00,      3520,
20111202,122.00,124.75,120.05,123.50,     12902,
20111205,124.80,129.90,122.25,124.95,      2451,SPH
20111207,126.40,128.95,126.40,128.30,       726,
20111208,126.95,126.95,124.10,124.30,       145,
20111209,122.45,125.00,120.05,124.50,       140,
20111212,126.00,126.00,125.00,125.00,       785,
20111213,125.85,127.00,125.00,126.90,       708,
20111214,127.00,127.80,124.00,124.25,      1271,
20111215,124.00,124.80,120.00,120.10,    100325,
20111216,123.00,125.00,118.15,118.45,       226,SPH
20111219,119.30,119.30,112.00,114.30,       374,SPL
20111220,114.00,116.85,114.00,114.05,        44,
20111221,116.00,117.00,115.45,115.90,        27,
20111222,117.00,117.00,114.05,116.65,        30,
20111223,117.55,117.55,114.65,116.20,       239,
20111226,118.00,119.45,114.05,114.50,      1123,
20111227,116.00,124.00,115.05,119.50,       512,
20111228,120.00,130.90,116.75,123.10,      9462,
20111229,122.10,132.10,107.00,126.20,      8969,SPL
20111230,127.45,132.45,114.00,127.00,      7491,SPH
20120102,126.95,126.95,119.00,119.65,       676,
20120103,120.05,124.00,120.05,123.75,       438,
20120104,124.00,124.00,117.00,117.85,      1801,
20120105,119.10,120.95,118.60,120.05,       157,
20120106,120.70,122.50,117.00,118.95,       921,
20120109,119.70,119.80,117.10,117.40,      1083,SPL
20120110,119.90,120.00,118.00,118.05,       388,
20120111,122.55,122.55,118.25,118.25,       183,
20120112,120.70,120.70,118.40,118.40,        46,
20120113,121.90,132.00,119.05,128.70,      4759,
20120116,131.15,140.00,130.00,138.60,      9541,
20120117,139.00,141.00,135.00,135.80,      4284,SPH
20120118,139.00,139.00,135.00,136.40,       198,
20120119,136.90,137.00,131.00,131.25,      1055,
20120120,132.40,134.95,123.00,124.30,      6337,SPL
20120123,132.00,134.70,125.00,125.15,       755,
20120124,129.95,129.95,127.00,127.25,       444,
20120125,129.00,133.95,126.85,133.10,       427,
20120127,130.45,135.95,130.45,135.40,      1112,
20120130,137.00,137.00,123.50,134.05,       101,
20120131,125.00,139.85,125.00,138.45,      1761,
20120201,135.15,138.85,133.60,138.60,       322,
20120202,130.00,140.00,130.00,134.55,      1160,SPL
20120203,135.05,138.00,135.00,135.35,       303,
20120206,145.00,145.00,135.15,138.50,       572,
20120207,139.00,140.90,137.10,139.20,       383,
20120208,140.85,142.75,138.00,142.00,      2736,
20120209,142.00,148.95,141.00,147.60,      1376,
20120210,142.65,144.30,141.05,143.35,       994,
20120213,144.40,145.90,142.05,145.90,       164,
20120214,145.95,145.95,142.25,143.05,       335,
20120215,147.95,147.95,142.00,144.95,      1008,
20120216,144.05,145.00,143.15,143.30,       451,
20120217,137.00,149.85,137.00,143.00,      1408,SPH
