Date,Open,High,Low,Close,    Volume,SwingPoint
20110606,592.00,593.90,583.75,585.00,      2457,
20110607,583.00,584.95,577.15,579.25,      1541,SPL
20110608,580.00,593.70,580.00,583.95,      2458,
20110609,582.00,585.00,582.00,582.20,       287,
20110610,582.10,588.00,582.10,586.80,      1247,
20110613,588.95,614.00,582.25,595.90,      8358,SPH
20110614,600.00,604.90,595.00,595.25,      5324,
20110615,587.05,599.00,583.20,587.40,      1044,
20110616,507.00,597.00,507.00,588.95,      2222,SPL
20110617,590.00,592.95,580.00,583.15,      1156,
20110620,600.00,600.00,566.00,569.70,      2621,
20110621,570.60,584.95,570.50,575.40,      2484,
20110622,580.00,580.00,567.05,569.55,       684,
20110623,570.00,571.30,566.00,567.35,       669,
20110624,571.00,576.00,568.35,570.75,      4864,
20110627,574.50,586.00,572.75,583.90,      2004,SPL
20110628,591.00,598.00,585.55,594.45,      3590,
20110629,594.00,618.95,592.50,610.35,      4299,
20110630,610.10,611.00,602.25,606.85,      6196,
20110701,609.80,612.00,604.00,607.15,      5095,
20110704,609.95,614.40,605.50,612.90,      2638,
20110705,605.50,623.75,605.50,617.95,      8839,
20110706,624.00,650.00,616.40,639.85,     20522,SPL
20110707,650.00,660.00,633.00,635.10,     10899,SPH
20110708,644.95,644.95,636.25,639.60,      2914,
20110711,644.00,652.00,635.00,643.00,      3298,
20110712,643.00,643.00,632.50,637.00,      4044,
20110713,636.50,643.00,636.50,638.75,      2801,
20110714,640.00,642.00,628.00,637.25,      3607,
20110715,640.00,657.00,637.10,649.10,      7551,SPL
20110718,644.00,666.00,644.00,657.70,      9160,
20110719,652.00,675.35,652.00,669.75,      9494,
20110720,678.60,678.60,660.00,661.70,      1958,SPH
20110721,660.00,664.45,653.00,661.00,      4924,
20110722,665.00,676.00,658.00,664.65,      4162,
20110725,672.20,672.20,659.05,666.20,      2822,
20110726,672.00,672.25,662.00,667.15,      4049,
20110727,672.50,676.80,665.00,668.50,      3077,
20110728,660.00,671.50,660.00,669.10,      3327,
20110729,670.00,677.60,666.10,666.15,      3604,SPH
20110801,666.50,673.00,652.05,660.85,      3350,
20110802,660.00,663.80,654.00,654.30,      4563,
20110803,660.00,660.00,640.00,643.80,      2328,
20110804,646.00,665.00,640.00,645.90,      6140,
20110805,630.00,634.50,621.00,630.35,      3985,
20110808,625.00,629.85,613.05,625.85,      2330,
20110809,617.00,622.00,603.00,620.05,      8842,SPL
20110810,630.00,635.00,624.00,629.10,       783,
20110811,625.00,633.00,615.00,617.85,      2324,
20110812,645.05,688.70,645.05,660.40,     37333,SPH
20110816,670.00,681.00,663.10,666.30,      4997,
20110817,670.40,670.40,655.00,658.55,      5021,
20110818,669.80,669.80,655.00,657.35,      4430,
20110819,645.00,649.95,635.10,638.35,      6213,
20110822,636.00,648.90,631.05,641.95,      1741,
20110823,636.00,645.00,636.00,639.95,      2192,
20110824,631.05,639.30,615.00,615.10,     63986,
20110825,629.75,642.00,625.00,630.75,      3975,
20110826,627.00,637.00,607.00,613.95,      2650,SPL
20110829,620.05,633.00,620.00,628.75,      3915,
20110830,653.60,653.60,628.00,636.60,      1638,
20110902,630.00,642.00,630.00,637.35,      2344,
20110905,638.00,668.00,638.00,657.55,      8841,
20110906,648.05,668.70,648.05,666.60,      4959,
20110907,670.00,682.00,663.20,665.30,     10294,SPH
20110908,666.80,674.00,660.00,662.60,      8095,
20110909,648.00,648.00,625.00,633.35,      7992,
20110912,630.10,630.10,610.00,619.95,      4103,SPL
20110913,620.00,627.85,611.10,619.25,      2211,
20110914,624.50,624.50,616.15,619.45,      1126,
20110915,620.00,625.00,617.30,622.30,      1669,
20110916,623.00,632.95,621.20,625.85,      6124,
20110919,631.85,637.45,620.00,620.60,      4925,
20110920,624.00,674.00,623.70,649.80,     49923,SPH
20110921,650.00,654.40,629.00,634.55,      3215,
20110922,630.00,638.00,620.15,623.70,      4501,
20110923,622.00,634.60,613.25,620.25,      6624,
20110926,614.00,623.00,602.00,607.85,      1921,
20110927,628.00,628.00,611.60,613.55,      1385,
20110928,608.10,619.90,602.00,604.65,      3473,
20110929,609.00,609.00,600.00,603.85,      1610,
20110930,609.00,617.20,590.00,597.05,      3439,
20111003,607.95,607.95,595.00,596.60,      2011,
20111004,633.00,633.00,587.15,591.25,      1842,SPH
20111005,600.00,601.80,577.90,582.10,      2451,SPL
20111007,598.50,606.95,590.00,599.75,      2263,
20111010,614.00,614.00,595.00,598.80,      1789,
20111011,600.00,611.95,586.65,590.50,      1843,
20111012,614.00,614.00,590.00,591.90,      1799,
20111013,609.00,609.00,582.20,585.50,      1810,
20111014,600.00,600.00,585.20,596.35,      2953,
20111017,568.00,607.00,568.00,590.10,       638,SPH
20111018,597.70,597.70,582.60,589.90,       762,
20111019,603.00,603.00,578.90,580.00,      7005,
20111020,589.35,589.35,580.00,583.20,      1594,
20111021,580.00,594.75,578.00,579.45,      2010,
20111024,589.50,591.00,576.15,576.85,      3222,
20111025,590.00,590.00,574.00,575.20,      1126,
20111026,591.90,591.90,580.00,590.20,       843,SPL
20111028,607.95,607.95,583.60,585.90,      4657,
20111031,609.00,609.00,584.10,590.00,      2186,SPH
20111101,600.50,600.50,582.50,584.25,      5428,
20111102,590.90,590.90,583.00,587.30,      3162,
20111103,594.40,594.95,585.00,591.70,      1164,
20111104,598.80,599.50,590.15,594.35,      2425,
20111108,604.40,604.40,590.00,594.70,      4031,
20111109,603.30,603.30,588.00,590.45,      3573,
20111111,592.00,592.00,567.00,570.80,      5463,SPH
20111114,571.10,578.70,561.60,564.70,      3041,
20111115,562.00,569.00,555.00,557.40,      5195,
20111116,560.60,564.00,548.00,557.70,      3639,
20111117,558.00,562.00,555.00,556.40,      1051,
20111118,563.85,563.85,550.00,557.50,      1314,
20111121,559.00,567.95,546.05,549.70,      1731,
20111122,552.00,559.00,542.05,548.85,      2578,SPH
20111123,545.00,550.00,530.00,538.90,      2421,
20111124,522.00,555.00,522.00,538.95,      1068,SPL
20111125,540.00,549.80,531.15,541.55,      3006,
20111128,549.00,558.00,540.00,540.55,      3142,
20111129,545.00,549.00,531.95,533.35,      3920,
20111130,544.00,544.90,535.00,539.95,      2797,
20111201,540.00,547.00,534.25,535.70,      1106,
20111202,540.00,543.00,531.60,540.95,      5884,
20111205,538.00,548.00,537.10,538.20,      1385,SPH
20111207,540.00,542.00,535.00,536.15,     18165,
20111208,530.00,544.00,530.00,533.25,      1481,
20111209,528.05,533.00,526.25,530.20,       576,
20111212,534.00,538.60,520.10,522.10,      1082,
20111213,522.00,530.95,517.05,520.45,      1390,
20111214,520.00,526.75,519.00,521.50,       580,
20111215,520.00,522.00,501.00,514.40,      1578,SPH
20111216,518.00,520.95,500.00,502.30,      2806,
20111219,507.00,507.00,494.00,497.40,      2929,
20111220,506.00,506.00,475.00,481.80,     15357,
20111221,488.00,501.00,474.05,479.35,      2993,SPL
20111222,513.10,513.10,477.00,491.50,      2400,
20111223,500.00,500.00,480.60,487.75,     16012,
20111226,498.00,498.00,487.85,492.65,       747,
20111227,498.95,498.95,490.00,494.10,       432,
20111228,498.00,498.00,475.10,481.15,      2007,
20111229,484.00,487.95,477.05,481.40,      1561,
20111230,482.00,492.00,470.60,473.05,      7571,
20120102,500.00,500.00,477.25,479.85,      2141,
20120103,490.00,495.00,478.00,479.65,     22852,
20120104,484.90,524.75,475.05,479.20,     38527,SPH
20120105,477.00,486.00,463.00,467.20,     15354,SPL
20120106,473.90,496.00,464.00,479.45,     36192,
20120107,470.00,498.00,470.00,494.75,      6073,
20120109,499.00,501.00,476.50,477.80,     20087,
20120110,484.95,489.90,478.40,480.50,      7874,
20120111,486.00,488.70,480.00,482.15,     16411,
20120112,486.90,504.00,485.10,494.80,     12390,
20120113,505.45,518.85,493.15,506.15,     20367,SPL
20120116,516.90,516.90,501.00,505.40,      4649,
20120117,528.00,528.00,503.50,505.95,      3781,SPH
20120118,502.55,513.50,502.55,508.50,      1969,
20120119,515.00,515.00,506.00,511.05,      1962,
20120120,514.00,527.90,509.25,512.35,      6630,
20120123,525.00,525.00,503.10,507.05,      2425,
20120124,514.90,514.90,500.05,512.25,      1915,SPL
20120125,519.50,521.00,507.05,516.85,      4471,
20120127,519.00,534.95,505.15,529.20,      4617,
20120130,522.00,532.00,514.00,525.30,      4741,
20120131,519.35,529.00,519.35,526.35,      2331,
20120201,525.10,542.00,525.00,538.90,      6062,
20120202,538.90,547.30,535.15,538.35,      6949,
20120203,551.00,570.85,538.25,556.50,      9661,SPL
20120206,545.15,565.95,545.15,551.80,      3743,
20120207,550.00,554.00,541.00,541.65,      2554,
20120208,540.70,573.00,540.00,566.70,     13966,
20120209,562.20,584.00,560.00,567.95,      6765,
20120210,558.15,571.00,551.05,556.10,      4446,
20120213,553.00,575.00,553.00,570.20,      2828,
20120214,574.55,585.25,570.00,574.50,      4136,
20120215,582.80,582.80,572.00,573.75,      1697,
20120216,586.95,587.00,565.05,570.40,      1467,SPH
20120217,579.00,582.00,566.05,567.15,      3135,
20120221,585.00,585.00,560.00,561.75,      4101,
20120222,550.00,569.95,550.00,561.25,      3331,
20120223,561.00,562.00,551.00,555.00,      4120,
20120224,554.10,560.00,553.50,558.70,      2781,
20120227,567.70,567.70,516.80,545.35,      6313,
20120228,555.00,558.00,536.00,551.55,      2717,
20120229,561.00,567.25,546.00,553.10,      1629,SPH
20120301,556.95,557.45,544.60,547.40,      3099,
20120302,531.00,544.00,503.50,539.65,     93189,SPL
20120303,545.00,554.50,544.00,548.70,       447,
20120305,549.95,549.95,539.00,540.70,      2449,
20120306,535.00,545.00,533.00,539.90,      5262,
20120307,535.00,538.95,530.25,531.70,      3290,
20120309,532.00,550.00,530.50,539.60,      2777,
20120312,540.00,551.85,540.00,543.75,      1798,
20120313,546.00,546.85,539.30,542.45,      2864,
20120314,546.00,546.00,535.15,538.85,      3052,
20120315,538.00,545.65,532.00,539.45,      9164,SPL
20120316,534.00,544.80,533.05,541.75,      1305,
20120319,541.00,553.40,536.00,541.70,      4161,
20120320,548.00,548.00,534.00,537.25,      4256,
20120321,569.50,569.50,534.00,539.35,      1688,SPH
20120322,545.50,547.00,536.85,540.90,      4486,
20120323,548.00,548.00,534.00,540.25,      4180,
20120326,560.00,560.00,531.00,533.90,      3256,
