Date,Open,High,Low,Close,    Volume,SwingPoint
20110606,374.20,375.00,370.00,371.20,     39798,
20110607,371.00,374.00,368.05,373.05,     41030,
20110608,370.30,373.75,370.05,371.10,     13279,
20110609,365.00,397.00,365.00,373.60,     26196,SPH
20110610,371.10,376.00,370.00,370.20,      8888,
20110613,367.00,374.85,367.00,372.80,     21877,
20110614,372.00,376.00,371.00,371.30,      9649,
20110615,374.25,374.25,369.15,370.00,      8943,
20110616,368.20,372.40,368.00,368.45,      2853,
20110617,372.00,372.00,360.25,363.00,      4414,
20110620,369.00,369.00,337.10,360.00,      4778,SPH
20110621,360.00,360.00,354.55,357.00,      3628,
20110622,355.30,359.90,354.60,354.95,      1648,
20110623,351.10,354.00,350.05,350.90,      1018,
20110624,352.00,355.00,350.10,351.30,      1123,
20110627,351.15,354.95,350.35,351.10,       691,
20110628,357.00,357.00,349.00,350.55,      4623,
20110629,356.50,356.50,349.10,352.80,       770,
20110630,354.95,355.70,349.60,350.80,      3489,
20110701,354.85,354.85,347.10,349.20,      2156,SPL
20110704,352.00,353.95,349.00,352.60,       990,
20110705,358.90,358.90,349.00,350.55,       565,
20110706,347.75,354.00,347.75,349.15,       110,
20110707,350.50,353.00,350.50,350.60,        51,
20110708,354.80,362.85,352.00,355.85,      5191,
20110711,355.00,360.90,352.00,352.75,      5573,
20110712,352.50,352.50,351.00,351.40,     16313,SPL
20110713,351.30,356.85,351.30,356.85,       204,
20110714,355.00,359.90,353.00,357.05,       637,
20110715,355.00,361.75,355.00,359.25,      6325,
20110718,357.00,363.05,357.00,362.90,      2179,
20110719,360.00,365.00,358.00,359.50,       847,
20110720,361.00,365.00,361.00,362.00,       755,
20110721,359.15,365.80,359.15,363.95,       673,SPL
20110722,364.00,372.00,363.00,369.30,      1492,
20110725,374.00,374.00,364.00,364.80,      1192,
20110726,367.00,367.00,365.25,365.50,      3285,
20110727,370.70,370.75,363.20,365.40,      5647,
20110728,364.10,365.70,364.10,365.20,       619,
20110729,367.00,367.00,365.00,365.30,      1523,
20110801,368.00,371.95,366.75,369.00,      6182,
20110802,368.60,377.00,368.60,374.60,      3753,
20110803,370.20,375.50,369.60,373.85,     15811,
20110804,400.00,400.00,370.10,371.50,     30451,SPH
20110805,365.00,374.50,365.00,371.90,     13455,SPL
20110808,368.00,374.90,368.00,369.95,      2868,
20110809,368.00,372.45,367.00,369.30,      9864,
20110810,372.40,377.05,370.25,372.75,     11459,
20110811,372.85,375.75,371.15,373.20,      8565,
20110812,370.00,376.00,370.00,373.50,      6531,
20110816,374.80,375.00,372.10,373.50,      6759,SPH
20110817,372.05,372.90,371.35,372.00,      2627,
20110818,371.40,372.90,367.35,368.70,     12955,
20110819,363.00,367.00,361.00,362.35,      5223,
20110822,363.00,363.00,352.10,358.25,       597,
20110823,361.00,361.00,345.00,349.00,       507,
20110824,361.35,361.35,347.10,351.10,       488,
20110825,353.05,358.00,347.00,348.25,      1662,SPH
20110826,347.00,352.00,318.00,329.65,      2161,SPL
20110829,337.95,337.95,331.00,332.05,       472,
20110830,338.00,338.00,328.00,335.80,      1359,
20110902,335.80,351.95,335.80,338.35,      2416,
20110905,334.00,339.80,322.00,330.15,      4038,
20110906,330.15,330.15,321.00,327.75,      7029,
20110907,338.25,338.25,321.10,325.80,      5572,SPH
20110908,323.60,327.50,323.00,327.45,       135,
20110909,330.00,330.00,324.35,326.15,       460,
20110912,315.00,321.05,303.00,313.30,      1412,SPL
20110913,306.00,324.75,306.00,319.20,       415,
20110914,329.85,329.85,316.00,316.45,       186,
20110915,314.00,324.95,314.00,315.35,       317,
20110916,321.00,321.00,309.00,310.15,       416,
20110919,314.95,314.95,304.00,305.75,       319,
20110920,306.00,313.00,305.10,307.70,       608,
20110921,309.00,325.00,301.25,317.45,      2242,SPH
20110922,324.55,324.75,302.50,310.15,      1921,
20110923,302.00,310.45,301.55,302.85,      2001,
20110926,301.10,308.00,296.05,299.75,       392,
20110927,299.35,300.25,295.70,299.85,      1654,
20110928,305.40,310.00,294.10,297.40,      1796,
20110929,294.25,298.00,292.25,294.05,       279,
20110930,297.95,297.95,283.05,285.15,      1019,SPH
20111003,288.00,288.80,285.00,287.90,       159,
20111004,282.00,289.75,281.15,281.75,       692,
