Date,Open,High,Low,Close,    Volume,SwingPoint
20110606,2419.95,2586.00,2419.95,2468.70,      6507,
20110607,2585.00,2600.00,2451.00,2501.65,      2821,
20110608,2500.00,2520.00,2480.00,2487.80,       403,
20110609,2431.50,2521.90,2431.50,2497.40,       588,
20110610,2500.05,2515.00,2480.15,2485.20,       198,
20110613,2410.60,2539.00,2410.60,2514.85,      3064,SPL
20110614,2520.00,2625.00,2517.95,2553.10,      3779,SPH
20110615,2528.00,2595.00,2528.00,2553.40,       801,
20110616,2586.00,2586.00,2530.00,2539.75,       726,
20110617,2540.00,2591.10,2503.00,2515.75,       607,
20110620,2515.00,2569.95,2451.00,2478.30,       274,
20110621,2504.00,2528.95,2428.00,2451.80,       309,
20110622,2456.05,2470.00,2407.00,2413.65,       153,
20110623,2473.95,2473.95,2376.05,2395.90,       375,SPL
20110624,2420.00,2437.95,2397.00,2404.70,       528,
20110627,2420.00,2515.00,2386.15,2434.30,       649,
20110628,2460.00,2484.00,2417.00,2427.65,       175,
20110629,2454.00,2480.00,2423.00,2429.35,       139,
20110630,2450.00,2619.00,2432.00,2546.30,      1953,
20110701,2550.00,2587.50,2544.05,2557.55,       269,
20110704,2590.00,2600.00,2545.00,2575.15,       285,
20110705,2575.00,2575.00,2535.00,2558.80,       645,SPL
20110706,2565.00,2599.85,2551.05,2589.00,      1606,
20110707,2599.00,2750.00,2575.00,2715.10,      6284,
20110708,2744.00,2798.90,2707.00,2782.10,      4123,
20110711,2799.00,2839.95,2720.00,2781.75,      1506,
20110712,2760.00,2929.80,2701.10,2839.05,      3953,SPH
20110713,2886.00,2886.00,2800.10,2828.75,       716,
20110714,2840.00,2880.00,2760.00,2849.60,      1054,
20110715,2893.95,2893.95,2762.20,2784.40,       197,
20110718,2784.00,2798.00,2727.00,2739.70,       440,
20110719,2754.90,2778.00,2722.55,2746.35,      1155,
20110720,2755.00,2785.00,2725.00,2754.90,       914,
20110721,2711.50,2823.00,2666.00,2778.30,      1693,SPL
20110722,2752.05,2894.00,2740.10,2864.15,      2377,SPH
20110725,2888.00,2890.00,2790.05,2828.40,       781,
20110726,2820.00,2890.00,2800.00,2803.60,       724,
20110727,2800.00,2839.95,2785.00,2798.90,       551,
20110728,2737.10,2805.00,2737.10,2793.00,       562,
20110729,2827.95,2827.95,2771.00,2773.60,       300,
20110801,2774.00,2850.00,2727.20,2789.95,       443,
20110802,2765.30,2790.00,2725.00,2748.70,       731,
20110803,2711.00,2798.95,2670.00,2677.25,       264,SPH
20110804,2656.05,2730.00,2630.00,2648.85,       566,
20110805,2575.10,2629.95,2520.00,2573.15,       647,
20110808,2524.00,2524.00,2461.00,2477.90,       412,
20110809,2405.80,2512.00,2405.70,2453.15,       426,SPL
20110810,2544.80,2550.00,2465.00,2549.25,     18534,
20110811,2500.00,2649.50,2485.15,2576.00,     11048,
20110812,2620.00,2625.00,2550.00,2577.45,       104,SPH
20110816,2609.95,2609.95,2490.05,2511.80,       165,
20110817,2542.50,2542.50,2470.10,2488.90,        59,
20110818,2501.00,2501.00,2460.00,2462.35,       180,
20110819,2444.00,2464.95,2388.00,2404.10,       415,SPL
20110822,2450.00,2470.00,2401.00,2456.85,       134,
20110823,2420.05,2590.00,2420.05,2533.80,       486,
20110824,2545.00,2594.00,2499.95,2544.80,       317,
20110825,2510.00,2590.00,2505.00,2529.55,       367,
20110826,2501.10,2554.00,2425.00,2471.60,       142,
20110829,2570.95,2570.95,2482.00,2535.50,       361,
20110830,2576.00,2620.00,2485.00,2553.85,       763,SPL
20110902,2589.00,2620.00,2532.00,2564.80,       103,
20110905,2569.95,2607.95,2513.00,2577.30,       394,
20110906,2527.10,2599.00,2520.00,2563.50,       355,
20110907,2594.95,2628.00,2555.00,2588.20,       530,
