Date,Open,High,Low,Close,    Volume,SwingPoint
20110606,168.00,168.00,166.00,166.05,       253,
20110607,167.00,169.85,167.00,169.00,       390,
20110608,170.00,171.00,165.90,169.00,       432,
20110609,170.00,171.00,166.00,168.35,       500,
20110610,168.00,170.00,166.00,169.40,       819,
20110613,169.00,169.00,166.20,166.70,       452,
20110614,168.00,171.00,167.00,168.75,       532,
20110615,170.00,171.00,167.00,168.95,      1271,
20110616,169.00,181.90,164.30,179.10,     42546,SPH
20110617,178.50,178.50,173.30,176.45,     12788,
20110620,177.50,177.50,168.60,170.00,      3666,
20110621,173.00,175.00,170.00,170.35,     12282,
20110622,170.10,173.00,169.10,170.00,      1487,
20110623,170.00,171.85,168.50,169.50,       553,
20110624,170.00,173.00,168.35,170.35,       911,
20110627,173.00,173.00,170.60,170.65,       948,
20110628,171.00,171.00,168.00,169.10,       436,SPL
20110629,169.00,174.00,168.00,171.50,       431,
20110630,172.00,176.90,170.20,174.55,      3886,
20110701,178.00,178.00,171.05,171.75,      1753,
20110704,176.00,176.95,172.25,175.75,       528,
20110705,177.50,179.45,177.00,177.10,       726,
20110706,177.15,180.90,172.60,178.60,      3847,
20110707,179.00,187.95,175.90,181.40,      4004,
20110708,184.00,192.55,183.00,183.25,     13909,SPH
20110711,183.00,185.80,180.10,181.20,      1999,
20110712,184.80,184.90,175.10,176.10,      2763,
20110713,182.00,182.00,179.00,180.05,      2660,
20110714,177.55,185.00,173.05,178.50,     42100,SPL
20110715,178.00,179.80,176.00,177.00,      1832,
20110718,182.65,185.00,179.00,179.75,      4483,
20110719,180.00,184.50,178.00,179.45,      4708,
20110720,183.00,183.00,174.60,175.00,      5858,
20110721,175.00,178.00,173.10,174.10,      2325,
20110722,182.00,203.45,182.00,191.45,    314026,SPH
20110725,190.80,191.00,183.05,186.85,    109332,
20110726,187.00,189.00,180.10,181.85,     14194,
20110727,183.70,192.00,180.25,187.40,     39730,
20110728,186.00,190.00,180.10,180.55,     20161,
20110729,175.00,183.90,175.00,179.00,      3574,
20110801,183.00,183.00,174.50,174.95,      4927,
20110802,173.00,174.95,172.00,173.35,      1942,
20110803,172.75,172.75,166.25,168.40,      2643,
20110804,178.65,178.65,165.25,166.00,      1936,SPH
20110805,165.00,167.00,155.00,158.60,      5005,
20110808,158.60,158.60,149.00,150.45,      4621,
20110809,149.00,153.95,143.50,150.00,      1752,SPL
20110810,150.50,170.00,150.50,160.65,     21175,
20110811,167.65,167.65,156.30,158.10,      1623,
20110812,159.00,159.95,156.00,156.25,       773,
20110816,160.85,160.85,154.15,155.30,      1394,SPH
20110817,155.30,155.30,150.00,150.60,      1451,
20110818,154.85,154.85,146.10,147.80,      1272,
20110819,145.00,146.50,142.00,142.60,      1845,SPL
20110822,144.00,145.95,142.25,144.15,       694,
20110823,147.90,148.50,145.00,145.70,      1340,
20110824,150.85,150.85,147.00,147.55,       835,
20110825,146.60,149.00,145.00,145.65,       516,
