Date,Open,High,Low,Close,    Volume,SwingPoint
20110606,470.00,474.00,462.30,464.85,      1221,
20110607,474.00,474.00,458.00,459.55,      1538,
20110608,456.10,471.00,456.10,467.70,      2208,SPL
20110609,470.05,488.00,470.05,480.35,     10860,
20110610,477.70,494.00,477.70,486.85,     20260,SPH
20110613,483.00,489.70,473.50,480.50,     10927,
20110614,486.00,488.95,479.00,481.95,      5381,
20110615,481.00,485.95,477.90,478.95,      4993,
20110616,478.00,479.90,470.00,476.00,      3101,
20110617,481.85,481.85,470.00,472.25,      3716,
20110620,475.50,475.50,458.30,463.45,      3302,
20110621,460.25,465.00,460.00,462.55,      1271,
20110622,465.90,465.90,460.50,461.90,       492,
20110623,461.00,461.00,457.00,458.25,      1285,SPL
20110624,468.70,468.70,460.00,466.70,      1666,
20110627,466.00,472.90,465.00,469.90,      1935,
20110628,469.65,470.50,466.65,469.90,       952,
20110629,465.20,468.55,462.20,464.05,      1831,
20110630,468.00,470.00,462.05,465.30,      1684,
20110701,473.90,481.00,462.50,470.65,      6362,
20110704,475.75,475.90,466.50,470.00,     25508,
20110705,472.00,473.50,466.40,470.30,      3609,SPL
20110706,474.00,474.00,468.45,468.85,      1017,
20110707,478.00,488.00,473.05,479.55,      7961,
20110708,481.10,490.00,481.00,484.25,      2879,
20110711,484.75,484.75,480.20,483.95,      1678,
20110712,480.00,499.00,476.55,492.45,     16511,
20110713,480.00,523.80,472.00,517.80,    142328,
20110714,521.00,539.00,518.50,531.15,    119384,
20110715,554.00,554.00,535.65,545.85,     95902,
20110718,545.00,553.95,542.10,544.55,     27057,
20110719,549.90,551.65,543.00,544.65,     33746,
20110720,553.70,558.50,518.00,522.90,    100241,SPH
20110721,499.00,501.00,475.00,493.30,    117316,SPL
20110722,508.95,514.35,497.05,504.90,     64621,
20110725,505.80,513.50,505.80,509.65,     12334,
20110726,511.85,512.00,501.55,503.90,     11693,
20110727,501.15,517.50,496.00,506.85,     18028,
20110728,501.60,507.00,500.00,503.05,      6276,
20110729,508.25,513.00,503.00,509.40,      7974,
20110801,511.95,511.95,502.00,503.30,     26883,
20110802,507.00,515.80,501.50,510.90,     11355,SPH
20110803,506.00,511.90,505.00,510.00,      4881,
20110804,512.50,512.90,505.10,506.50,      2932,
20110805,495.00,499.85,489.00,497.35,     11979,
20110808,487.85,496.00,482.10,490.80,      5969,
20110809,475.00,479.00,458.25,471.20,     12853,
20110810,479.80,480.00,466.50,474.55,     18013,
20110811,476.00,481.80,467.50,471.65,      3837,SPH
20110812,475.80,475.80,460.30,463.95,      3093,
20110816,468.85,468.85,458.00,460.50,      3751,
20110817,464.00,464.00,452.05,455.90,      3258,
20110818,455.05,457.00,440.50,446.05,      3648,
20110819,440.00,445.05,428.30,438.95,      6804,SPL
20110822,439.00,442.00,428.50,432.10,     11721,
20110823,438.00,462.50,437.00,460.30,      5194,
